Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-2
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/r...
1sa1msa1am1dma-17_1    -1556.226095788382
1sa1msa1am1dma-102_10  -1556.152930299738
1sa1msa1am1dma-55_8    -1556.168420653363
1sa1msa1am1dma-25_3    -1556.17917107597 
1sa1msa1am1dma-93_11   -1556.156478452999
1sa1msa1am1dma-122_6   -1556.125247650734
1sa1msa1am1dma-73_5    -1556.1568141053  
1sa1msa1am1dma-110_4   -1556.153287980189
1sa1msa1am1dma-85_1    -1556.206273797828
1sa1msa1am1dma-78_1    -1556.209843007616
1sa1msa1am1dma-127_11  -1556.132697776504
1sa1msa1am1dma-41_7    -1556.171177665453
1sa1msa1am1dma-129_2   -1556.132084586576
1sa1msa1am1dma-52_2    -1556.172235354092
1sa1msa1am1dma-22_9    -1556.173332097601
1sa1msa1am1dma-96_4    -1556.165673504401
1sa1msa1am1dma-103_1   -1556.202850677608
1sa1msa1am1dma-108_5   -1556.165412538454
1sa1msa1am1dma-131_3   -1556.152086878148
1sa1msa1am1dma-59_6    -1556.179147900907
1sa1msa1am1dma-36_6    -1556.18122311831 
1sa1msa1am1dma-48_11   -1556.180438895873
1sa1msa1am1dma-130_2   -1556.134644341449
1sa1msa1am1dma-58_7    -1556.164115485407
1sa1msa1am1dma-11_10   -1556.177471496839
1sa1msa1am1dma-61_1    -1556.213775771534
1sa1msa1am1dma-109_4   -1556.143872855996
1sa1msa1am1dma-97_5    -1556.167039449929
1sa1msa1am1dma-53_3    -1556.153808146028
1sa1msa1am1dma-23_8    -1556.164647560658
1sa1msa1am1dma-34_11   -1556.182450501638
1sa1msa1am1dma-37_7    -1556.182502075217
1sa1msa1am1dma-54_9    -1556.184597169822
1sa1msa1am1dma-74_11   -1556.181102967891
1sa1msa1am1dma-24_2    -1556.159368843636
1sa1msa1am1dma-1_1     -1556.235531364965
1sa1msa1am1dma-137_8   -1556.161633696833
1sa1msa1am1dma-40_6    -1556.166029299822
1sa1msa1am1dma-128_3   -1556.135410497519
1sa1msa1am1dma-51_10   -1556.161544950812
1sa1msa1am1dma-111_5   -1556.153383449165
1sa1msa1am1dma-72_4    -1556.195067225553
1sa1msa1am1dma-123_7   -1556.14110732719 
1sa1msa1am1dma-1_6     -1556.180944833663
1sa1msa1am1dma-24_5    -1556.165508083911
1sa1msa1am1dma-90_8    -1556.165108119046
1sa1msa1am1dma-16_7    -1556.202749693528
1sa1msa1am1dma-40_1    -1556.218492084342
1sa1msa1am1dma-128_4   -1556.148321669024
1sa1msa1am1dma-84_7    -1556.181327966078
1sa1msa1am1dma-111_2   -1556.151580214453
1sa1msa1am1dma-79_7    -1556.1655683271  
1sa1msa1am1dma-72_3    -1556.170316804381
1sa1msa1am1dma-130_5   -1556.138481308457
1sa1msa1am1dma-125_10  -1556.107940130924
1sa1msa1am1dma-61_6    -1556.176412450945
1sa1msa1am1dma-109_3   -1556.153939707006
1sa1msa1am1dma-102_7   -1556.168270117643
1sa1msa1am1dma-97_2    -1556.150576975304
1sa1msa1am1dma-91_10   -1556.17955349976 
1sa1msa1am1dma-53_4    -1556.180268031817
1sa1msa1am1dma-100_11  -1556.143665738903
1sa1msa1am1dma-75_9    -1556.168925802181
1sa1msa1am1dma-88_9    -1556.167460484366
1sa1msa1am1dma-116_8   -1556.143056075005
1sa1msa1am1dma-1_8     -1556.172743119268
1sa1msa1am1dma-105_3   -1556.146246578753
1sa1msa1am1dma-90_6    -1556.175060027469
1sa1msa1am1dma-16_9    -1556.180949692809
1sa1msa1am1dma-66_2    -1556.153266442444
1sa1msa1am1dma-137_1   -1556.181370122318
1sa1msa1am1dma-30_4    -1556.175408896017
1sa1msa1am1dma-79_9    -1556.165184949189
1sa1msa1am1dma-79_11   -1556.174863263881
1sa1msa1am1dma-84_9    -1556.175312514955
1sa1msa1am1dma-87_10   -1556.14540518593 
1sa1msa1am1dma-28_5    -1556.176597655088
1sa1msa1am1dma-39_11   -1556.172103787256
1sa1msa1am1dma-11_3    -1556.19360472983 
1sa1msa1am1dma-61_8    -1556.174493958556
1sa1msa1am1dma-102_9   -1556.17436788049 
1sa1msa1am1dma-133_10  -1556.118328796767
1sa1msa1am1dma-6_2     -1556.190228681827
1sa1msa1am1dma-23_1    -1556.217825878383
1sa1msa1am1dma-124_4   -1556.141601222386
1sa1msa1am1dma-88_7    -1556.18003885683 
1sa1msa1am1dma-75_7    -1556.168163892911
1sa1msa1am1dma-83_3    -1556.182826488831
1sa1msa1am1dma-116_6   -1556.14661841903 
1sa1msa1am1dma-116_11  -1556.126702155936
1sa1msa1am1dma-47_5    -1556.171328101154
1sa1msa1am1dma-58_9    -1556.16671532766 
1sa1msa1am1dma-28_2    -1556.16650531319 
1sa1msa1am1dma-11_4    -1556.177667558129
1sa1msa1am1dma-23_6    -1556.183565422297
1sa1msa1am1dma-6_5     -1556.191236125218
1sa1msa1am1dma-124_3   -1556.142511120473
1sa1msa1am1dma-128_10  -1556.162261156422
1sa1msa1am1dma-116_1   -1556.188583294807
1sa1msa1am1dma-83_4    -1556.17287204169 
1sa1msa1am1dma-37_9    -1556.168882256669
1sa1msa1am1dma-22_11   -1556.14922287304 
1sa1msa1am1dma-47_2    -1556.151954363093
