Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa5w_18	-2482.6201	0.2811	0.1915	-2482.3390	-2482.4286	188.674		-
3sa5w_19	-2482.6157	0.2792	0.1872	-2482.3365	-2482.4285	193.614		-
3sa5w_20	-2482.6165	0.2789	0.1883	-2482.3376	-2482.4283	190.790		-
3sa5w_21	-2482.6155	0.2801	0.1873	-2482.3354	-2482.4282	195.341		-
3sa5w_22	-2482.6218	0.2800	0.1936	-2482.3418	-2482.4282	181.758		-
3sa5w_23	-2482.6169	0.2796	0.1888	-2482.3372	-2482.4280	191.086		-
3sa5w_24	-2482.6169	0.2786	0.1888	-2482.3383	-2482.4280	188.913		-
3sa5w_25	-2482.6217	0.2813	0.1938	-2482.3404	-2482.4279	184.295		-
3sa5w_26	-2482.6163	0.2790	0.1884	-2482.3373	-2482.4279	190.594		-
3sa5w_27	-2482.6171	0.2782	0.1895	-2482.3389	-2482.4277	186.767		-
3sa5w_28	-2482.6150	0.2794	0.1874	-2482.3356	-2482.4276	193.685		-
3sa5w_29	-2482.6145	0.2805	0.1870	-2482.3341	-2482.4276	196.751		-
3sa5w_30	-2482.6190	0.2818	0.1915	-2482.3373	-2482.4275	189.920		-
3sa5w_31	-2482.6187	0.2815	0.1913	-2482.3372	-2482.4275	189.979		-
3sa5w_32	-2482.6212	0.2818	0.1940	-2482.3393	-2482.4272	184.919		-
3sa5w_33	-2482.6184	0.2819	0.1913	-2482.3365	-2482.4272	190.774		-
3sa5w_34	-2482.6164	0.2803	0.1893	-2482.3362	-2482.4272	191.515		-
3sa5w_35	-2482.6194	0.2802	0.1926	-2482.3392	-2482.4268	184.321		-
3sa5w_36	-2482.6165	0.2805	0.1898	-2482.3360	-2482.4268	191.033		-
3sa5w_37	-2482.6163	0.2806	0.1896	-2482.3356	-2482.4267	191.680		-
3sa5w_38	-2482.6167	0.2806	0.1902	-2482.3362	-2482.4265	190.102		-
3sa5w_39	-2482.6187	0.2816	0.1922	-2482.3371	-2482.4265	188.186		-
3sa5w_40	-2482.6179	0.2815	0.1915	-2482.3364	-2482.4264	189.457		-
3sa5w_41	-2482.6145	0.2801	0.1881	-2482.3344	-2482.4264	193.623		-
3sa5w_42	-2482.6152	0.2809	0.1892	-2482.3343	-2482.4260	192.814		-
3sa5w_43	-2482.6170	0.2812	0.1911	-2482.3359	-2482.4260	189.624		-
3sa5w_44	-2482.6178	0.2810	0.1920	-2482.3368	-2482.4258	187.333		-
3sa5w_45	-2482.6141	0.2798	0.1885	-2482.3343	-2482.4256	192.154		-
3sa5w_46	-2482.6161	0.2806	0.1905	-2482.3354	-2482.4256	189.715		-
3sa5w_47	-2482.6171	0.2814	0.1917	-2482.3357	-2482.4254	188.788		-
3sa5w_48	-2482.6189	0.2818	0.1935	-2482.3371	-2482.4253	185.749		-
3sa5w_49	-2482.6152	0.2813	0.1901	-2482.3339	-2482.4251	191.924		-
3sa5w_50	-2482.6179	0.2812	0.1931	-2482.3367	-2482.4247	185.276		-
3sa5w_51	-2482.6181	0.2818	0.1935	-2482.3363	-2482.4246	185.884		-
3sa5w_52	-2482.6136	0.2795	0.1891	-2482.3341	-2482.4244	190.148		-
3sa5w_53	-2482.6087	0.2792	0.1843	-2482.3294	-2482.4244	199.840		-
3sa5w_54	-2482.6143	0.2805	0.1899	-2482.3338	-2482.4244	190.745		-
3sa5w_55	-2482.6154	0.2810	0.1910	-2482.3343	-2482.4243	189.416		-
3sa5w_56	-2482.6098	0.2782	0.1856	-2482.3316	-2482.4242	194.945		-
3sa5w_57	-2482.6131	0.2810	0.1891	-2482.3321	-2482.4240	193.416		-
3sa5w_58	-2482.6141	0.2793	0.1904	-2482.3348	-2482.4236	187.056		-
3sa5w_59	-2482.6133	0.2813	0.1898	-2482.3320	-2482.4235	192.599		-
3sa5w_60	-2482.6113	0.2787	0.1883	-2482.3326	-2482.4230	190.225		-
3sa5w_61	-2482.6121	0.2812	0.1892	-2482.3309	-2482.4228	193.449		-
3sa5w_62	-2482.6105	0.2791	0.1877	-2482.3314	-2482.4228	192.287		-
3sa5w_63	-2482.6109	0.2786	0.1881	-2482.3323	-2482.4228	190.423		-
3sa5w_64	-2482.6123	0.2811	0.1898	-2482.3313	-2482.4225	192.032		-
3sa5w_65	-2482.6153	0.2820	0.1930	-2482.3333	-2482.4223	187.290		-
3sa5w_66	-2482.6122	0.2815	0.1901	-2482.3308	-2482.4221	192.267		-
3sa5w_67	-2482.6132	0.2815	0.1911	-2482.3317	-2482.4221	190.233		-
3sa5w_68	-2482.6061	0.2791	0.1849	-2482.3270	-2482.4213	198.355		-
3sa5w_69	-2482.6139	0.2819	0.1928	-2482.3320	-2482.4211	187.523		-
3sa5w_70	-2482.6091	0.2807	0.1880	-2482.3284	-2482.4211	194.999		-
3sa5w_71	-2482.6105	0.2763	0.1905	-2482.3342	-2482.4200	180.741		-
3sa5w_72	-2482.6124	0.2796	0.1928	-2482.3328	-2482.4196	182.649		-
3sa5w_73	-2482.6027	0.2795	0.1833	-2482.3232	-2482.4194	202.379		-
3sa5w_74	-2482.6133	0.2801	0.1940	-2482.3332	-2482.4194	181.242		-
3sa5w_75	-2482.6039	0.2787	0.1851	-2482.3253	-2482.4188	196.828		-
3sa5w_76	-2482.6060	0.2807	0.1881	-2482.3253	-2482.4178	194.806		-
3sa5w_77	-2482.6003	0.2792	0.1834	-2482.3210	-2482.4168	201.596		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
4sa1w_01	-2877.0357	0.2156	0.1315	-2876.8201	-2876.9042	176.955		-2874.2974035329
4sa1w_02	-2877.0337	0.2153	0.1297	-2876.8184	-2876.9040	180.270		-2874.2965889063
4sa1w_03	-2877.0352	0.2150	0.1313	-2876.8202	-2876.9039	176.015		-2874.2967276189
4sa1w_04	-2877.0350	0.2151	0.1315	-2876.8199	-2876.9035	176.005		-
4sa1w_05	-2877.0314	0.2148	0.1286	-2876.8166	-2876.9028	181.409		-
4sa1w_06	-2877.0333	0.2151	0.1306	-2876.8182	-2876.9027	177.732		-
4sa1w_07	-2877.0355	0.2157	0.1335	-2876.8198	-2876.9020	173.014		-
4sa1w_08	-2877.0364	0.2166	0.1349	-2876.8198	-2876.9015	171.959		-
4sa1w_09	-2877.0354	0.2162	0.1342	-2876.8192	-2876.9012	172.442		-
4sa1w_10	-2877.0315	0.2150	0.1304	-2876.8165	-2876.9011	178.149		-
4sa1w_11	-2877.0266	0.2137	0.1256	-2876.8129	-2876.9010	185.423		-
4sa1w_12	-2877.0325	0.2150	0.1320	-2876.8175	-2876.9005	174.728		-
4sa1w_13	-2877.0320	0.2155	0.1317	-2876.8166	-2876.9003	176.198		-
4sa1w_14	-2877.0281	0.2147	0.1285	-2876.8135	-2876.8997	181.442		-
4sa1w_15	-2877.0297	0.2145	0.1302	-2876.8152	-2876.8995	177.478		-
4sa1w_16	-2877.0316	0.2152	0.1321	-2876.8164	-2876.8995	174.850		-
4sa1w_17	-2877.0279	0.2155	0.1285	-2876.8124	-2876.8995	183.174		-
4sa1w_18	-2877.0322	0.2153	0.1328	-2876.8170	-2876.8994	173.459		-
4sa1w_19	-2877.0270	0.2150	0.1277	-2876.8120	-2876.8993	183.749		-
4sa1w_20	-2877.0312	0.2154	0.1320	-2876.8159	-2876.8992	175.410		-
4sa1w_21	-2877.0294	0.2151	0.1306	-2876.8143	-2876.8988	177.903		-
4sa1w_22	-2877.0318	0.2155	0.1334	-2876.8163	-2876.8985	172.888		-
4sa1w_23	-2877.0265	0.2133	0.1285	-2876.8132	-2876.8981	178.632		-
4sa1w_24	-2877.0246	0.2150	0.1266	-2876.8096	-2876.8979	185.928		-
4sa1w_25	-2877.0243	0.2144	0.1267	-2876.8098	-2876.8976	184.704		-
4sa1w_26	-2877.0320	0.2161	0.1347	-2876.8159	-2876.8973	171.371		-
4sa1w_27	-2877.0267	0.2149	0.1294	-2876.8118	-2876.8972	179.817		-
4sa1w_28	-2877.0257	0.2150	0.1286	-2876.8107	-2876.8971	181.874		-
4sa1w_29	-2877.0266	0.2147	0.1297	-2876.8118	-2876.8969	178.950		-
4sa1w_30	-2877.0251	0.2144	0.1283	-2876.8107	-2876.8968	181.295		-
4sa1w_31	-2877.0248	0.2148	0.1282	-2876.8100	-2876.8966	182.204		-
4sa1w_32	-2877.0279	0.2158	0.1319	-2876.8121	-2876.8960	176.559		-
4sa1w_33	-2877.0220	0.2153	0.1282	-2876.8068	-2876.8938	183.156		-
4sa1w_34	-2877.0152	0.2143	0.1270	-2876.8009	-2876.8882	183.573		-
4sa1w_35	-2877.0112	0.2154	0.1240	-2876.7958	-2876.8872	192.307		-
4sa1w_36	-2877.0104	0.2150	0.1268	-2876.7954	-2876.8835	185.477		-
4sa1w_37	-2877.0125	0.2154	0.1301	-2876.7971	-2876.8823	179.374		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
4sa2w_01	-2953.4735	0.2426	0.1524	-2953.2309	-2953.3211	189.912		-2950.665436833
4sa2w_02	-2953.4698	0.2435	0.1496	-2953.2263	-2953.3202	197.615		-2950.6626802256
4sa2w_03	-2953.4737	0.2435	0.1548	-2953.2301	-2953.3189	186.778		-2950.6631059802
4sa2w_04	-2953.4730	0.2428	0.1543	-2953.2302	-2953.3186	186.088		-
4sa2w_05	-2953.4727	0.2437	0.1546	-2953.2290	-2953.3181	187.589		-
4sa2w_06	-2953.4690	0.2428	0.1517	-2953.2262	-2953.3172	191.674		-
4sa2w_07	-2953.4711	0.2424	0.1539	-2953.2287	-2953.3172	186.202		-
4sa2w_08	-2953.4726	0.2431	0.1555	-2953.2295	-2953.3172	184.464		-
4sa2w_09	-2953.4719	0.2433	0.1552	-2953.2286	-2953.3168	185.541		-
4sa2w_10	-2953.4689	0.2432	0.1522	-2953.2257	-2953.3167	191.545		-
4sa2w_11	-2953.4691	0.2422	0.1526	-2953.2269	-2953.3166	188.749		-
4sa2w_12	-2953.4681	0.2425	0.1515	-2953.2256	-2953.3165	191.439		-
4sa2w_13	-2953.4717	0.2435	0.1552	-2953.2282	-2953.3165	185.797		-
4sa2w_14	-2953.4675	0.2424	0.1513	-2953.2250	-2953.3162	191.862		-
4sa2w_15	-2953.4673	0.2428	0.1513	-2953.2245	-2953.3160	192.559		-
4sa2w_16	-2953.4684	0.2418	0.1526	-2953.2266	-2953.3158	187.711		-
4sa2w_17	-2953.4747	0.2433	0.1590	-2953.2313	-2953.3157	177.488		-
4sa2w_18	-2953.4683	0.2433	0.1528	-2953.2251	-2953.3155	190.358		-
4sa2w_19	-2953.4675	0.2429	0.1521	-2953.2246	-2953.3154	191.149		-
4sa2w_20	-2953.4740	0.2436	0.1587	-2953.2305	-2953.3153	178.657		-
4sa2w_21	-2953.4674	0.2429	0.1521	-2953.2246	-2953.3153	191.047		-
4sa2w_22	-2953.4713	0.2443	0.1561	-2953.2271	-2953.3152	185.594		-
4sa2w_23	-2953.4682	0.2428	0.1535	-2953.2254	-2953.3147	187.981		-
4sa2w_24	-2953.4649	0.2422	0.1506	-2953.2228	-2953.3144	192.780		-
4sa2w_25	-2953.4671	0.2437	0.1528	-2953.2235	-2953.3143	191.298		-
4sa2w_26	-2953.4666	0.2415	0.1522	-2953.2251	-2953.3143	187.820		-
4sa2w_27	-2953.4667	0.2427	0.1525	-2953.2240	-2953.3142	189.845		-
4sa2w_28	-2953.4646	0.2427	0.1507	-2953.2218	-2953.3139	193.678		-
4sa2w_29	-2953.4693	0.2440	0.1554	-2953.2253	-2953.3138	186.293		-
4sa2w_30	-2953.4647	0.2420	0.1511	-2953.2227	-2953.3136	191.418		-
4sa2w_31	-2953.4640	0.2432	0.1506	-2953.2208	-2953.3134	194.858		-
4sa2w_32	-2953.4692	0.2433	0.1558	-2953.2259	-2953.3134	184.081		-
4sa2w_33	-2953.4644	0.2427	0.1512	-2953.2217	-2953.3132	192.584		-
4sa2w_34	-2953.4643	0.2437	0.1512	-2953.2206	-2953.3131	194.672		-
4sa2w_35	-2953.4670	0.2438	0.1540	-2953.2233	-2953.3130	188.904		-
4sa2w_36	-2953.4692	0.2436	0.1563	-2953.2256	-2953.3129	183.734		-
4sa2w_37	-2953.4659	0.2431	0.1534	-2953.2227	-2953.3125	188.928		-
4sa2w_38	-2953.4707	0.2449	0.1584	-2953.2257	-2953.3122	182.024		-
4sa2w_39	-2953.4677	0.2442	0.1556	-2953.2236	-2953.3121	186.456		-
4sa2w_40	-2953.4681	0.2440	0.1566	-2953.2241	-2953.3115	183.838		-
4sa2w_41	-2953.4677	0.2448	0.1563	-2953.2228	-2953.3114	186.325		-
4sa2w_42	-2953.4593	0.2426	0.1483	-2953.2167	-2953.3110	198.314		-
4sa2w_43	-2953.4603	0.2427	0.1504	-2953.2176	-2953.3099	194.251		-
4sa2w_44	-2953.4604	0.2419	0.1509	-2953.2185	-2953.3095	191.532		-
4sa2w_45	-2953.4580	0.2424	0.1486	-2953.2156	-2953.3093	197.288		-
4sa2w_46	-2953.4598	0.2430	0.1507	-2953.2168	-2953.3091	194.302		-
4sa2w_47	-2953.4585	0.2424	0.1499	-2953.2161	-2953.3086	194.653		-
4sa2w_48	-2953.4493	0.2434	0.1444	-2953.2059	-2953.3049	208.434		-
4sa2w_49	-2953.4580	0.2418	0.1539	-2953.2162	-2953.3041	185.039		-
4sa2w_50	-2953.4494	0.2425	0.1453	-2953.2069	-2953.3041	204.553		-
4sa2w_51	-2953.4498	0.2428	0.1496	-2953.2070	-2953.3002	196.158		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
4sa3w_01	-3029.9137	0.2699	0.1778	-3029.6438	-3029.7359	193.950		-3027.0316241426
4sa3w_02	-3029.9121	0.2712	0.1777	-3029.6409	-3029.7344	196.772		-3027.0320836079
4sa3w_03	-3029.9120	0.2712	0.1781	-3029.6408	-3029.7339	195.939		-3027.0307666204
4sa3w_04	-3029.9119	0.2703	0.1781	-3029.6416	-3029.7338	194.030		-
4sa3w_05	-3029.9063	0.2717	0.1731	-3029.6345	-3029.7332	207.684		-
4sa3w_06	-3029.9047	0.2700	0.1726	-3029.6348	-3029.7321	204.934		-
4sa3w_07	-3029.9093	0.2714	0.1772	-3029.6379	-3029.7321	198.318		-
4sa3w_08	-3029.9047	0.2700	0.1726	-3029.6347	-3029.7321	204.913		-
4sa3w_09	-3029.9037	0.2701	0.1718	-3029.6336	-3029.7319	206.972		-
4sa3w_10	-3029.9085	0.2700	0.1774	-3029.6385	-3029.7311	195.024		-
4sa3w_11	-3029.9052	0.2697	0.1742	-3029.6355	-3029.7310	201.095		-
4sa3w_12	-3029.9090	0.2708	0.1781	-3029.6382	-3029.7309	195.104		-
4sa3w_13	-3029.9074	0.2696	0.1765	-3029.6378	-3029.7309	195.884		-
4sa3w_14	-3029.9090	0.2709	0.1783	-3029.6381	-3029.7307	194.868		-
4sa3w_15	-3029.9082	0.2716	0.1776	-3029.6366	-3029.7306	197.929		-
4sa3w_16	-3029.9058	0.2706	0.1757	-3029.6353	-3029.7301	199.548		-
4sa3w_17	-3029.9094	0.2713	0.1794	-3029.6381	-3029.7299	193.301		-
4sa3w_18	-3029.9051	0.2708	0.1754	-3029.6343	-3029.7297	200.939		-
4sa3w_19	-3029.9088	0.2727	0.1790	-3029.6360	-3029.7297	197.151		-
4sa3w_20	-3029.9049	0.2712	0.1753	-3029.6337	-3029.7296	201.812		-
4sa3w_21	-3029.9085	0.2731	0.1792	-3029.6354	-3029.7293	197.686		-
4sa3w_22	-3029.9065	0.2714	0.1772	-3029.6351	-3029.7293	198.123		-
4sa3w_23	-3029.9106	0.2713	0.1820	-3029.6393	-3029.7287	188.129		-
4sa3w_24	-3029.9034	0.2714	0.1749	-3029.6320	-3029.7285	203.118		-
4sa3w_25	-3029.9038	0.2706	0.1756	-3029.6332	-3029.7282	199.929		-
4sa3w_26	-3029.9044	0.2709	0.1763	-3029.6335	-3029.7282	199.261		-
4sa3w_27	-3029.9047	0.2707	0.1767	-3029.6340	-3029.7280	197.887		-
4sa3w_28	-3029.9014	0.2712	0.1735	-3029.6302	-3029.7279	205.666		-
4sa3w_29	-3029.9021	0.2705	0.1744	-3029.6316	-3029.7277	202.275		-
4sa3w_30	-3029.9032	0.2716	0.1758	-3029.6316	-3029.7275	201.713		-
4sa3w_31	-3029.9021	0.2715	0.1751	-3029.6306	-3029.7270	202.964		-
4sa3w_32	-3029.9023	0.2705	0.1753	-3029.6318	-3029.7270	200.367		-
4sa3w_33	-3029.9041	0.2717	0.1775	-3029.6324	-3029.7266	198.268		-
4sa3w_34	-3029.9060	0.2727	0.1794	-3029.6333	-3029.7265	196.186		-
4sa3w_35	-3029.8997	0.2710	0.1734	-3029.6286	-3029.7262	205.425		-
4sa3w_36	-3029.9019	0.2715	0.1762	-3029.6304	-3029.7257	200.562		-
4sa3w_37	-3029.9074	0.2720	0.1822	-3029.6354	-3029.7252	189.090		-
4sa3w_38	-3029.9031	0.2712	0.1787	-3029.6318	-3029.7244	194.804		-
4sa3w_39	-3029.9006	0.2710	0.1783	-3029.6297	-3029.7224	195.123		-
4sa3w_40	-3029.8956	0.2710	0.1737	-3029.6247	-3029.7220	204.740		-
4sa3w_41	-3029.8999	0.2703	0.1784	-3029.6296	-3029.7215	193.427		-
4sa3w_42	-3029.8971	0.2695	0.1759	-3029.6276	-3029.7212	196.954		-
4sa3w_43	-3029.8863	0.2710	0.1711	-3029.6152	-3029.7152	210.398		-
4sa3w_44	-3029.8881	0.2710	0.1737	-3029.6170	-3029.7144	204.895		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
4sa4w_01	-3106.3479	0.2984	0.1990	-3106.0495	-3106.1489	209.308		-3103.3952027084
4sa4w_02	-3106.3489	0.2986	0.2004	-3106.0503	-3106.1485	206.732		-3103.3955296429
4sa4w_03	-3106.3466	0.2965	0.1981	-3106.0500	-3106.1484	207.097		-3103.3937691251
4sa4w_04	-3106.3507	0.2983	0.2024	-3106.0524	-3106.1483	201.681		-
4sa4w_05	-3106.3489	0.2981	0.2010	-3106.0509	-3106.1480	204.360		-
4sa4w_06	-3106.3419	0.2971	0.1944	-3106.0448	-3106.1476	216.283		-
4sa4w_07	-3106.3455	0.2978	0.1981	-3106.0477	-3106.1474	209.843		-
4sa4w_08	-3106.3527	0.2985	0.2057	-3106.0542	-3106.1470	195.413		-
4sa4w_09	-3106.3502	0.2976	0.2033	-3106.0526	-3106.1469	198.486		-
4sa4w_10	-3106.3435	0.2978	0.1975	-3106.0457	-3106.1460	210.997		-
4sa4w_11	-3106.3424	0.2990	0.1964	-3106.0434	-3106.1459	215.784		-
4sa4w_12	-3106.3476	0.2989	0.2021	-3106.0487	-3106.1455	203.607		-
4sa4w_13	-3106.3417	0.2974	0.1971	-3106.0443	-3106.1446	211.110		-
4sa4w_14	-3106.3424	0.2974	0.1978	-3106.0449	-3106.1445	209.621		-
4sa4w_15	-3106.3505	0.2994	0.2061	-3106.0511	-3106.1444	196.445		-
4sa4w_16	-3106.3474	0.2997	0.2031	-3106.0477	-3106.1443	203.310		-
4sa4w_17	-3106.3402	0.2971	0.1961	-3106.0431	-3106.1442	212.757		-
4sa4w_18	-3106.3399	0.2995	0.1960	-3106.0404	-3106.1439	217.708		-
4sa4w_19	-3106.3415	0.2988	0.1977	-3106.0428	-3106.1438	212.696		-
4sa4w_20	-3106.3432	0.2978	0.1994	-3106.0454	-3106.1437	207.038		-
4sa4w_21	-3106.3401	0.2973	0.1968	-3106.0428	-3106.1434	211.583		-
4sa4w_22	-3106.3419	0.2993	0.1989	-3106.0426	-3106.1430	211.363		-
4sa4w_23	-3106.3395	0.2977	0.1966	-3106.0418	-3106.1430	212.893		-
4sa4w_24	-3106.3400	0.2998	0.1977	-3106.0403	-3106.1424	214.875		-
4sa4w_25	-3106.3410	0.2994	0.1991	-3106.0417	-3106.1419	210.921		-
4sa4w_26	-3106.3423	0.2998	0.2006	-3106.0425	-3106.1418	208.821		-
4sa4w_27	-3106.3416	0.2991	0.2001	-3106.0425	-3106.1415	208.326		-
4sa4w_28	-3106.3399	0.3002	0.1987	-3106.0397	-3106.1412	213.613		-
4sa4w_29	-3106.3403	0.3001	0.1993	-3106.0402	-3106.1409	211.994		-
4sa4w_30	-3106.3440	0.2992	0.2034	-3106.0448	-3106.1406	201.721		-
4sa4w_31	-3106.3410	0.3001	0.2006	-3106.0409	-3106.1404	209.544		-
4sa4w_32	-3106.3347	0.2978	0.1950	-3106.0369	-3106.1397	216.355		-
4sa4w_33	-3106.3373	0.2971	0.1977	-3106.0402	-3106.1396	209.187		-
4sa4w_34	-3106.3406	0.3002	0.2016	-3106.0404	-3106.1390	207.625		-
4sa4w_35	-3106.3306	0.2974	0.1943	-3106.0331	-3106.1363	217.143		-
4sa4w_36	-3106.3278	0.2983	0.1938	-3106.0295	-3106.1341	220.056		-
4sa4w_37	-3106.3274	0.2974	0.1942	-3106.0300	-3106.1332	217.092		-
4sa4w_38	-3106.3234	0.2982	0.1927	-3106.0252	-3106.1307	222.022		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
4sa5w_01	-3182.7856	0.3272	0.2226	-3182.4585	-3182.5630	220.110		-3179.7596455168
4sa5w_02	-3182.7825	0.3245	0.2217	-3182.4580	-3182.5608	216.313		-3179.7568776322
4sa5w_03	-3182.7850	0.3266	0.2244	-3182.4584	-3182.5606	215.156		-3179.7601796301
4sa5w_04	-3182.7863	0.3275	0.2258	-3182.4588	-3182.5604	213.927		-
4sa5w_05	-3182.7871	0.3263	0.2268	-3182.4608	-3182.5604	209.585		-
4sa5w_06	-3182.7795	0.3257	0.2192	-3182.4538	-3182.5603	224.091		-
4sa5w_07	-3182.7870	0.3276	0.2268	-3182.4594	-3182.5602	212.275		-
4sa5w_08	-3182.7826	0.3257	0.2225	-3182.4568	-3182.5601	217.330		-
4sa5w_09	-3182.7850	0.3277	0.2253	-3182.4572	-3182.5597	215.701		-
4sa5w_10	-3182.7838	0.3270	0.2241	-3182.4568	-3182.5597	216.539		-
4sa5w_11	-3182.7826	0.3272	0.2232	-3182.4554	-3182.5594	218.827		-
4sa5w_12	-3182.7777	0.3274	0.2183	-3182.4503	-3182.5594	229.682		-
4sa5w_13	-3182.7792	0.3257	0.2199	-3182.4534	-3182.5593	222.752		-
4sa5w_14	-3182.7831	0.3256	0.2241	-3182.4575	-3182.5591	213.774		-
4sa5w_15	-3182.7776	0.3253	0.2185	-3182.4523	-3182.5591	224.765		-
4sa5w_16	-3182.7876	0.3276	0.2286	-3182.4600	-3182.5591	208.478		-
4sa5w_17	-3182.7845	0.3278	0.2258	-3182.4567	-3182.5587	214.675		-
4sa5w_18	-3182.7882	0.3266	0.2296	-3182.4616	-3182.5585	204.096		-
4sa5w_19	-3182.7825	0.3267	0.2240	-3182.4558	-3182.5585	216.112		-
4sa5w_20	-3182.7867	0.3277	0.2283	-3182.4590	-3182.5584	209.254		-
4sa5w_21	-3182.7818	0.3270	0.2234	-3182.4548	-3182.5584	218.021		-
4sa5w_22	-3182.7867	0.3282	0.2285	-3182.4586	-3182.5583	209.892		-
4sa5w_23	-3182.7842	0.3265	0.2259	-3182.4576	-3182.5583	211.787		-
4sa5w_24	-3182.7853	0.3276	0.2271	-3182.4577	-3182.5582	211.520		-
4sa5w_25	-3182.7849	0.3266	0.2274	-3182.4583	-3182.5576	208.906		-
4sa5w_26	-3182.7791	0.3258	0.2217	-3182.4533	-3182.5574	219.114		-
4sa5w_27	-3182.7797	0.3271	0.2224	-3182.4526	-3182.5573	220.390		-
4sa5w_28	-3182.7779	0.3263	0.2212	-3182.4517	-3182.5568	221.208		-
4sa5w_29	-3182.7837	0.3278	0.2270	-3182.4559	-3182.5567	212.288		-
4sa5w_30	-3182.7764	0.3266	0.2199	-3182.4498	-3182.5565	224.516		-
4sa5w_31	-3182.7785	0.3255	0.2220	-3182.4530	-3182.5565	217.749		-
4sa5w_32	-3182.7827	0.3274	0.2266	-3182.4553	-3182.5562	212.306		-
4sa5w_33	-3182.7780	0.3259	0.2225	-3182.4522	-3182.5555	217.521		-
4sa5w_34	-3182.7838	0.3271	0.2283	-3182.4566	-3182.5555	208.087		-
4sa5w_35	-3182.7783	0.3265	0.2229	-3182.4518	-3182.5554	218.001		-
4sa5w_36	-3182.7789	0.3268	0.2236	-3182.4521	-3182.5553	217.301		-
4sa5w_37	-3182.7761	0.3274	0.2208	-3182.4487	-3182.5553	224.309		-
4sa5w_38	-3182.7751	0.3267	0.2199	-3182.4484	-3182.5552	224.751		-
4sa5w_39	-3182.7777	0.3260	0.2228	-3182.4517	-3182.5550	217.285		-
4sa5w_40	-3182.7782	0.3263	0.2234	-3182.4519	-3182.5548	216.598		-
4sa5w_41	-3182.7692	0.3252	0.2161	-3182.4440	-3182.5531	229.710		-
4sa5w_42	-3182.7770	0.3277	0.2242	-3182.4494	-3182.5529	217.899		-
4sa5w_43	-3182.7773	0.3278	0.2244	-3182.4495	-3182.5529	217.464		-
4sa5w_44	-3182.7790	0.3266	0.2272	-3182.4523	-3182.5518	209.317		-
4sa5w_45	-3182.7749	0.3282	0.2239	-3182.4467	-3182.5510	219.619		-
4sa5w_46	-3182.7767	0.3286	0.2266	-3182.4481	-3182.5501	214.611		-
4sa5w_47	-3182.7687	0.3254	0.2201	-3182.4433	-3182.5487	221.728		-
4sa5w_48	-3182.7706	0.3273	0.2224	-3182.4433	-3182.5483	220.843		-
4sa5w_49	-3182.7666	0.3264	0.2194	-3182.4402	-3182.5473	225.220		-
4sa5w_50	-3182.7607	0.3248	0.2141	-3182.4359	-3182.5466	232.877		-
4sa5w_51	-3182.7616	0.3261	0.2151	-3182.4354	-3182.5465	233.652		-
4sa5w_52	-3182.7608	0.3253	0.2159	-3182.4355	-3182.5449	230.205		-
