Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa4w_11	-1706.0181	0.2047	0.1322	-1705.8134	-1705.8859	152.474		-
2sa4w_12	-1706.0206	0.2059	0.1350	-1705.8147	-1705.8856	149.270		-
2sa4w_13	-1706.0201	0.2062	0.1345	-1705.8139	-1705.8856	150.959		-
2sa4w_14	-1706.0145	0.2047	0.1289	-1705.8098	-1705.8856	159.445		-
2sa4w_15	-1706.0145	0.2046	0.1289	-1705.8099	-1705.8856	159.408		-
2sa4w_16	-1706.0194	0.2058	0.1339	-1705.8136	-1705.8855	151.426		-
2sa4w_17	-1706.0195	0.2052	0.1342	-1705.8142	-1705.8853	149.595		-
2sa4w_18	-1706.0180	0.2060	0.1328	-1705.8120	-1705.8852	154.016		-
2sa4w_19	-1706.0190	0.2055	0.1338	-1705.8135	-1705.8852	150.906		-
2sa4w_20	-1706.0216	0.2058	0.1366	-1705.8158	-1705.8850	145.687		-
2sa4w_21	-1706.0143	0.2048	0.1294	-1705.8095	-1705.8849	158.715		-
2sa4w_22	-1706.0199	0.2061	0.1350	-1705.8137	-1705.8848	149.597		-
2sa4w_23	-1706.0195	0.2061	0.1347	-1705.8134	-1705.8847	150.170		-
2sa4w_24	-1706.0146	0.2049	0.1299	-1705.8097	-1705.8847	157.824		-
2sa4w_25	-1706.0169	0.2039	0.1322	-1705.8130	-1705.8847	150.773		-
2sa4w_26	-1706.0212	0.2056	0.1366	-1705.8157	-1705.8846	145.109		-
2sa4w_27	-1706.0191	0.2058	0.1346	-1705.8133	-1705.8845	149.886		-
2sa4w_28	-1706.0173	0.2058	0.1328	-1705.8115	-1705.8845	153.670		-
2sa4w_29	-1706.0193	0.2053	0.1350	-1705.8140	-1705.8843	147.947		-
2sa4w_30	-1706.0195	0.2057	0.1353	-1705.8139	-1705.8843	148.120		-
2sa4w_31	-1706.0134	0.2048	0.1292	-1705.8087	-1705.8842	158.983		-
2sa4w_32	-1706.0157	0.2056	0.1316	-1705.8101	-1705.8842	155.885		-
2sa4w_33	-1706.0149	0.2045	0.1308	-1705.8104	-1705.8841	155.129		-
2sa4w_34	-1706.0129	0.2052	0.1289	-1705.8077	-1705.8840	160.532		-
2sa4w_35	-1706.0133	0.2033	0.1293	-1705.8100	-1705.8839	155.616		-
2sa4w_36	-1706.0140	0.2038	0.1303	-1705.8103	-1705.8837	154.575		-
2sa4w_37	-1706.0180	0.2044	0.1344	-1705.8136	-1705.8836	147.284		-
2sa4w_38	-1706.0154	0.2044	0.1319	-1705.8110	-1705.8835	152.559		-
2sa4w_39	-1706.0218	0.2065	0.1383	-1705.8153	-1705.8835	143.476		-
2sa4w_40	-1706.0123	0.2049	0.1288	-1705.8074	-1705.8834	160.084		-
2sa4w_41	-1706.0138	0.2043	0.1305	-1705.8095	-1705.8833	155.174		-
2sa4w_42	-1706.0120	0.2040	0.1287	-1705.8080	-1705.8832	158.299		-
2sa4w_43	-1706.0105	0.2041	0.1273	-1705.8064	-1705.8832	161.672		-
2sa4w_44	-1706.0217	0.2070	0.1386	-1705.8147	-1705.8830	143.815		-
2sa4w_45	-1706.0170	0.2056	0.1340	-1705.8114	-1705.8830	150.760		-
2sa4w_46	-1706.0108	0.2035	0.1278	-1705.8073	-1705.8830	159.412		-
2sa4w_47	-1706.0133	0.2049	0.1303	-1705.8084	-1705.8830	156.989		-
2sa4w_48	-1706.0156	0.2049	0.1327	-1705.8107	-1705.8829	151.932		-
2sa4w_49	-1706.0203	0.2061	0.1374	-1705.8142	-1705.8829	144.542		-
2sa4w_50	-1706.0204	0.2066	0.1376	-1705.8138	-1705.8828	145.201		-
2sa4w_51	-1706.0182	0.2054	0.1355	-1705.8128	-1705.8827	147.115		-
2sa4w_52	-1706.0167	0.2059	0.1342	-1705.8108	-1705.8825	150.989		-
2sa4w_53	-1706.0126	0.2039	0.1301	-1705.8087	-1705.8825	155.386		-
2sa4w_54	-1706.0130	0.2045	0.1306	-1705.8085	-1705.8824	155.638		-
2sa4w_55	-1706.0143	0.2043	0.1320	-1705.8100	-1705.8823	152.204		-
2sa4w_56	-1706.0176	0.2059	0.1355	-1705.8118	-1705.8821	148.011		-
2sa4w_57	-1706.0172	0.2059	0.1353	-1705.8113	-1705.8819	148.595		-
2sa4w_58	-1706.0139	0.2046	0.1320	-1705.8093	-1705.8818	152.744		-
2sa4w_59	-1706.0119	0.2040	0.1301	-1705.8079	-1705.8818	155.577		-
2sa4w_60	-1706.0204	0.2063	0.1386	-1705.8141	-1705.8817	142.410		-
