# CLUSTER  dG
1dma1sua4w           -896.48033980685
1dma1sua5w           -972.822375581523
1dma1sua6w           -1049.1595995951877
1dma1tma             -308.9414845605
1dma1w               -211.20398085258
1dma2fa              -513.8886892226111
1dma2fa1ma           -609.5505381363089
1dma2fa1tma          -687.9624423690011
1dma2homF1sa         -2351.7624464428104
1dma2homF2sa         -3051.2243770269715
1dma2msa             -1461.9655231890904
1dma2msa1nta1tma     -1916.610839799061
1dma2msa1sa          -2161.4358116786266
1dma2msa2sa          -2860.8977663065634
1dma2nta             -695.9600419872221
1dma2nta1tma         -870.063615208522
1dma2sa              -1533.816094709454
1dma2sa1tma          -1707.9153128983633
1dma2sa1w            -1610.1545495702273
1dma2sa2w            -1686.4906962170248
1dma2sa3w            -1762.8327107792009
1dma2sa4w            -1839.16878786428
1dma2sa5w            -1915.506050037968
1dma2w               -287.53924216792393
1dma3msa             -2125.506356819868
1dma3msa1sa          -2824.9721708900165
1dma3sa              -2233.2813584830105
1dma3sa1w            -2309.6173150945683
1dma3sa2w            -2385.9560825818194
1dma3sa3w            -2462.29501245842
1dma3sa4w            -2538.635359634576
1dma3sa5w            -2614.972086191217
1dma3w               -363.87529739911906
1dma4sa              -2932.739375583385
1dma4w               -440.207627396752
1dma5sa              -3632.196437931686
1dma5w               -516.545705490233
1dma6w               -592.878393340184
1eda                 -190.13840044972798
1eda1fa              -379.647917890082
1eda1fa1ma           -475.306635838977
1eda1fa1ma1msa       -1138.8275973509258
1eda1fa1ma1msa1sa    -1838.3560778264819
1eda1fa1ma1sa        -1174.7928588305324
1eda1fa1ma2msa       -1802.4316654700003
1eda1fa1ma2sa        -1874.2839826870627
1eda1fa1msa          -1043.2014562300615
1eda1fa1msa1sa1tma   -1916.7820288644152
1eda1fa1msa1tma      -1217.2446716400816
1eda1fa1sa           -1079.12429966962
1eda1fa1sa1tma       -1253.2093166823272
1eda1fa1tma          -553.724198904631
1eda1fa2msa1tma      -1880.8415127851063
1eda1fa2sa1tma       -1952.6954463878428
1eda1ma              -285.794121504798
1eda1ma1msa          nan
1eda1ma1msa1nta      -1229.9138647190462
1eda1ma1msa1nta1sa   -1929.3910201422736
1eda1ma1msa1sa       -1648.8428960291021
1eda1ma1nta          -566.3477857181531
1eda1ma1nta1sa       -1265.840789681797
1eda1ma1nta2sa       -1965.3414737727876
1eda1ma1sa           -985.2747259877
1eda1ma2msa          -1612.9173691389808
1eda1ma2msa1nta      -1893.4688394761388
1eda1ma2nta          -846.913388017714
1eda1ma2sa           -1684.765898862799
1eda1ma3sa1tma       nan
1eda1msa             -853.6806537166091
1eda1msa1nta         -1134.2357917288828
1eda1msa1nta1sa1tma  -2007.81937151304
1eda1msa1nta1tma     -1308.3309067540952
1eda1msa1sa          -1553.1621555631652
1eda1msa1tma         -1027.7625157810369
1eda1nta             -470.684477518753
1eda1nta1sa          -1170.156203449108
1eda1nta1sa1tma      -1344.257580473604
1eda1nta1tma         -644.763976205771
1eda1nta2sa1tma      -2043.7298197230948
1eda1sa              -889.6045886642479
1eda1sa1tma          -1063.6931067403668
1eda1tma             -364.211266146883
1eda2fa              -569.1574044778149
1eda2fa1ma           -664.8200671453731
1eda2fa1tma          -743.234354080949
1eda2msa             -1517.236141357585
1eda2msa1nta1tma     -1971.9396373357022
1eda2msa1tma         -1691.328338260582
1eda2nta             -751.2287672195259
1eda2nta1tma         -925.3283768594999
1eda2sa              -1589.083562784469
1eda2sa1tma          -1763.1862888247738
1eda3sa              -2288.5512261025447
1eda4sa              -2988.0187711059293
1fa                  -189.50518065820398
1fa1ma               -285.170707908656
1fa1ma1msa           -948.7236175810381
1fa1ma1msa1sa1tma    -1822.302305193193
1fa1ma1msa1tma       -1122.8042134272189
1fa1ma1sa            -984.6432994919529
1fa1ma1sa1tma        -1158.7311738158191
1fa1ma1tma           -459.24778636441295
1fa1ma2msa1tma       -1786.3674665929038
1fa1ma2sa1tma        -1858.219813643773
1fa1msa              -853.0419057762472
1fa1msa1sa2tma       -1900.7058500512674
1fa1msa1tma          -1027.134660977025
1fa1msa2tma          -1201.2121518251718
1fa1nta              -470.045904240584
1fa1sa               -888.9626919518289
1fa1sa1tma           -1063.0625438477139
1fa1sa2tma           -1237.146809437471
1fa1tma              -363.58925323267306
1fa2ma               -380.83320165578505
1fa2ma1msa           -1044.3960106590773
1fa2ma1msa1sa        -1743.8844597298241
1fa2ma1sa            -1080.3140855952677
1fa2ma2msa           -1707.951930737074
1fa2ma2sa            -1779.807196068976
1fa2msa2tma          -1864.774312180049
1fa2sa2tma           -1936.634838812018
1fa2tma              -537.661533785559
1gly1p1sa            -983.7886548061941
1gly1p1sa1w          -1060.138816334455
1gly1p1w             -360.67305681117193
1gly1p2sa            -1683.2541839459732
1gly1p2sa1w          -1759.6015704695824
1gly1p3sa            -2382.7166986759694
1gly1sa              -983.432451171423
1gly1sa1w            -1059.7856941328444
1gly1w               -360.321334646412
1gly2sa              -1682.921644562083
1gly2sa1w            -1759.2610698350456
1gly3sa              -2382.380260113722
1glyt1sa             -982.9574896359929
1glyt1sa1w           -1059.3000657985933
1glyt1w              -359.79013507375606
1glyt2sa             -1682.444365271617
1glyt2sa1w           -1758.784121720023
1glyt3sa             -2381.9305486848016
1homF                -758.702597253062
1homF1sa             -1458.154573823852
1homF1sa1w           -1534.4977289805622
1homF1w              -835.0327933900019
1homF2sa             -2157.6137413958777
1homF2sa1w           -2233.952719885655
1ma                  -95.66388736832499
1ma1msa              -759.200785067956
1ma1msa1nta          -1039.7512812464288
1ma1msa1nta1sa1tma   -1913.3325425429841
1ma1msa1nta1tma      -1213.849960008802
1ma1msa1sa           -1458.682130270199
1ma1msa1sa1tma       -1632.7808943183838
1ma1msa1tma          -933.285404014149
1ma1nta              -376.208481206264
1ma1nta1sa           -1075.6765361941536
1ma1nta1sa1tma       -1249.7817492158426
1ma1nta1tma          -550.287907660238
1ma1nta2sa1tma       -1949.2528821422798
1ma1sa               -795.125062390961
1ma1sa1tma           -969.218591275455
1ma1sa1w             -871.468219985175
1ma1sa2w             -947.8119509391411
1ma1sa3w             -1024.1508031431679
1ma1tma              -269.73561697364397
1ma1w                -171.99990162928603
1ma2msa              -1422.7533941867562
1ma2msa1nta1tma      -1877.400434690188
1ma2msa1tma          -1596.8505301317468
1ma2nta              -656.747929986111
1ma2nta1tma          -830.8487428667079
1ma2sa               -1494.601717468159
1ma2sa1tma           -1668.7116156336447
1ma2sa1w             -1570.944139476602
1ma2sa2tma           -1842.797878766676
1ma2sa2w             -1647.2822265993182
1ma2sa3w             -1723.6195198841392
1ma2w                -248.33212200059998
1ma3sa               -2194.067395183775
1ma3sa1tma           -2368.2471110125207
1ma3sa2tma           -2542.291837078362
1ma3sa3tma           -2716.3884038658116
1ma4sa               -2893.5251952488065
1ma4sa2tma           -3241.7738331146056
1ma4sa3tma           -3415.9653394902953
1mbtca               -762.239253876668
1mbtca1sa            -1461.700076595255
1mbtca2sa            -2161.156960927639
1mbtca3sa            -2860.6166780320145
1mbtca4sa            -3560.0755850080086
1mda                 -229.343975532207
1mda1sa              -928.816624857611
1mea                 -210.01042947504496
1mea1sa              -909.4762230695178
1mea1sa1w            -985.8185286115
1mea1sa2w            -1062.159420347447
1mea1sa3w            -1138.4984346062658
1mea1w               -286.3435543234999
1mea2sa              -1608.95046741556
1mea2sa1w            -1685.29294510622
1mea2sa2w            -1761.630762223634
1mea2sa3w            -1837.968753426837
1mea2w               -362.68228397961997
1mea3sa              -2308.416213033311
1mea3w               -439.017518705198
1mea4sa              -3007.8763645405543
1msa                 -663.5297127439411
1msa1nta             -944.0710052587679
1msa1nta1sa2tma      -1991.7456146784561
1msa1nta1tma         -1118.172088337071
1msa1nta2tma         -1292.2582923668297
1msa1sa              -1362.991382461351
1msa1sa1tma          -1537.0986862922928
1msa2sa              -2062.4494218408295
1msa2tma             -1011.700302373254
1msa3sa              -2761.9047068129107
1nta                 -280.5380133018151
1nta1sa              -979.990105766589
1nta1sa1tma          -1154.097917747231
1nta1sa2tma          -1328.1962854554718
1nta1tma             -454.62536520465
1nta2sa2tma          -2027.666329091939
1nta2tma             -628.7014051203768
1oa                  -377.81909270089403
1oa1sa               -1077.2731312073552
1oa1sa1w             -1153.6130514063505
1oa1sa2w             -1229.952450410617
1oa1sa3w             -1306.288240691637
1oa1sa4w             -1382.6241621168253
1oa1sa5w             -1458.960115488973
1oa1sa6w             -1535.3032241631424
1pa                  -651.1433951231139
1pa1sa               -1350.6032669724023
1pa2sa               -2050.0622121152455
1pa3sa               -2749.517600033194
1pa4sa               -3448.9858476634863
1pda                 -229.352333121593
1pda1sa              -928.8249416609359
1pha                 -643.378629353601
1pha1sa              -1342.843860942405
1pha1w               -719.717951252641
1pha2sa              -2042.306218341759
1put                 -268.56739201285995
1put1sa              -968.0414627499052
1put2sa              -1667.5183517713483
1put3sa              -2366.9916940028006
1put4sa              -3066.467332473104
1pz                  nan
1sa                  -699.448632678717
1sa10w               nan
1sa11w               nan
1sa12w               nan
1sa13w               nan
1sa14w               nan
1sa15w               nan
1sa1teAABBmda        -1046.4353288711789
1sa1tma              -873.54812153552
1sa1tma1w            -949.8874525281409
1sa1tma2w            -1026.2247804241915
1sa1tma3w            -1102.5600876066271
1sa1triAABmda        -1007.2305900980409
1sa1w                -775.789892332103
1sa2tma              -1047.6329556720389
1sa2tma1w            -1123.9715327342542
1sa2tma2w            -1200.3082449236158
1sa2w                -852.1292039389099
1sa3w                -928.46913700554
1sa4w                -1004.80803976232
1sa5w                -1081.1408773916162
1sa6w                -1157.477706867678
1sa7w                nan
1sa8w                nan
1sa9w                nan
1sua                 -456.26984807151695
1sua1w               -532.6009307702229
1sua2w               -608.938133085986
1sua3w               -685.2732772829131
1sua4w               -761.613497419678
1sua5w               -837.9471375465961
1sua6w               -914.2865175748591
1teAABBmda           -346.9635584203001
1tma                 -174.079197840165
1tma1w               -250.41373999548702
1triAABmda           -307.758342407038
1w                   -76.33797480033202
2am                  -112.92221984003599
2am1aq1p1sa          -889.09871799847
2am1aq2sa            -1588.2101213158387
2am1aq3sa            -2287.6808841805077
2am1b                -811.8773409464839
2am1b1sa             -1511.374977880422
2am1b1sa1w           -1587.710931426724
2am1b1sa2w           -1664.049777787506
2am1b1sa3w           -1740.3942806617122
2am1b1sa4w           -1816.7262262922193
2am1b1sa5w           -1893.0733086027642
