#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1am1nta1tma          -1.3943006004410563    -21.452090635051718  -67.2741574195961
1oa1sa3w             -1.4283716010977514    -44.19930838450091   -143.45442489833772
1oa1sa6w             -1.667762242781464     -76.90403882641112   -252.34370814589823
1oa1sa               -1.669228416401893     -12.768531713809352  -37.227245673604386
1sa1w                -1.676502189366147     -10.846983198818634  -30.757944019560973
2pa                  -1.6795933607500046    -19.22715806728229   -58.85482041333759
1am2fa               -1.7714569659437984    -20.765442320232978  -63.70613903851957
1sa2w                -1.9749406017945148    -21.09874298775685   -64.14154749604623
2fa1ma               -1.9921067717223195    -23.137643786489207  -70.92247866798742
1dma2fa1ma           -2.0762104433815693    -35.366348778763495  -111.65567108994536
1eda1fa              -2.1800487191503635    -13.63457666762406   -38.418674990785405
1dma1fa              -2.1832182832586113    -12.361710410375963  -34.138829874899
1b1dma1w             -2.19264811987523      -23.407675439448212  -71.15555029168561
1ma1nta1tma          -2.199427562285564     -22.721131196041824  -68.83013125570051
1am1pha              -2.5246121690724976    -12.193572574527934  -32.42985210600942
1oa1sa1w             -2.5452762683853507    -23.76010485003644   -71.15488372138614
1fa1tma              -2.565552430183743     -12.89468061910884   -34.64406570161897
2am1msa              -2.5709376358427107    -23.19441570888739   -69.17148439714745
1sa3w                -2.6312723189475946    -31.630670537997503  -97.26445822197887
1am1dma2fa           -2.647420869092457     -34.29110308777308   -106.1334302149709
1am1b5w              -2.658172130060848     -62.768222911749035  -201.61009821024737
1sa4w                -2.7179423847119324    -42.0727073213784    -131.9965283802602
1eda2fa1ma           -2.881538817935507     -37.12524690175633   -114.8539596979438
1oa1sa2w             -2.917941404564772     -34.494419690949144  -105.90802712125287
1eda1ma1nta          -2.933988821489038     -25.83983611103031   -76.82658825960543
2fa1tma              -2.95930067160225      -24.365349262952805  -71.79623877719527
1am1eda1nta          -2.9717313814617228    -24.71563161496306   -72.92939873759377
1am1nta              -2.981928812805563     -11.979016009281622  -30.176378321421097
1am1eda2fa           -3.13890707725659      -35.33879852396785   -107.99896510726381
