Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-9
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/r2...
1msa1am1dma-27_6    -855.909476832328 
1msa1am1dma-7_8     -855.938033532746 
1msa1am1dma-12_9    -855.921442255885 
1msa1am1dma-24_11   -855.920020237564 
1msa1am1dma-15_3    -855.930003716228 
1msa1am1dma-27_1    -855.950748968049 
1msa1am1eda-34_1    -911.326315922916 
1msa1am1eda-19_8    -911.271934351111 
1msa1am1eda-69_3    -911.268474990235 
1msa1am1eda-50_5    -911.264996217963 
1msa1am1eda-7_6     -911.280090473857 
1msa1am1eda-62_7    -911.282942288914 
1msa1am1eda-71_2    -911.266870884416 
1msa1am1eda-48_4    -911.291439391248 
1msa1am1eda-15_6    -911.30371445293  
1msa1am1eda-27_4    -911.305943875468 
1msa1am1eda-39_11   -911.279019430869 
1msa1am1eda-71_5    -911.26291531796  
1msa1am1eda-22_11   -911.298145685756 
1msa1am1eda-38_8    -911.294156565109 
1msa1am1eda-48_3    -911.280116385321 
1msa1am1eda-43_7    -911.28096574462  
1msa1am1eda-15_1    -911.330820986192 
1msa1am1eda-57_8    -911.281175954153 
1msa1am1eda-27_3    -911.290039546413 
1msa1am1eda-47_10   -911.270737016484 
1msa1am1eda-34_6    -911.288049100996 
1msa1am1eda-7_10    -911.289214827615 
1msa1am1eda-69_4    -911.266672913628 
1msa1am1eda-62_11   -911.267961980564 
1msa1am1eda-50_2    -911.276513254401 
1msa1am1eda-7_1     -911.334170113037 
1msa1am1eda-20_9    -911.286934812399 
1msa1am1eda-38_6    -911.295953382955 
1msa1am1eda-33_2    -911.305584190012 
1msa1am1eda-43_9    -911.287137646108 
1msa1am1eda-34_11   -911.27964617121  
1msa1am1eda-65_4    -911.263042740937 
1msa1am1eda-11_10   -911.304406365904 
1msa1am1eda-57_6    -911.281875103093 
1msa1am1eda-34_8    -911.292022596315 
1msa1am1eda-44_3    -911.297585303333 
1msa1am1eda-51_10   -911.266446976283 
1msa1am1eda-19_1    -911.329407432655 
1msa1am1eda-20_7    -911.297243670153 
1msa1am1eda-74_11   -911.247496073847 
1msa1am1eda-12_5    -911.302954310888 
1msa1am1eda-44_4    -911.286783880877 
1msa1am1eda-19_6    -911.280807667622 
1msa1am1eda-7_8     -911.291792727044 
1msa1am1eda-12_2    -911.285081415686 
1msa1am1eda-62_9    -911.265991078847 
1msa1am1eda-38_1    -911.323744336682 
1msa1am1eda-33_5    -911.303360693064 
1msa1am1eda-15_8    -911.286613056703 
1msa1am1eda-65_3    -911.270796448285 
1msa1am1eda-57_1    -911.316599281349 
1msa1am1eda-55_7    -911.245874010912 
1msa1am1eda-2_4     -911.309043395438 
1msa1am1eda-67_5    -911.263259442643 
1msa1am1eda-41_8    -911.301656799983 
1msa1am1eda-31_3    -911.28057116304  
1msa1am1eda-18_11   -911.287000501175 
1msa1am1eda-10_4    -911.299607794464 
1msa1am1eda-29_2    -911.277855304637 
1msa1am1eda-59_9    -911.281598373888 
