Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
1msa1nta1am1dma-17_3    -55.74473795905
1msa1nta1am1dma-67_8    -55.71835690802
1msa1nta1am1dma-34_11   -55.75115008206
1msa1nta1am1dma-31_9    -55.74191565472
1msa1nta1am1dma-41_2    -55.73975899463
1msa1nta1am1dma-25_6    -55.76569815031
1msa1nta1am1dma-17_4    -55.74657818351
1msa1nta1am1dma-2_9     -55.77115057809
1msa1nta1am1dma-36_3    -55.73614712644
1msa1nta1am1dma-46_8    -55.74112867007
1msa1nta1am1dma-59_3    -55.72861118613
1msa1nta1am1dma-29_8    -55.73858853734
1msa1nta1am1dma-60_5    -55.72092566979
1msa1nta1am1dma-5_3     -55.77885773143
1msa1nta1am1dma-52_7    -55.7301136123 
1msa1nta1am1dma-31_7    -55.75290309113
1msa1nta1am1dma-39_11   -55.74227677506
1msa1nta1am1dma-55_3    -55.7332680828 
1msa1nta1am1dma-25_8    -55.75458252717
1msa1nta1am1dma-9_3     -55.77595844945
1msa1nta1am1dma-67_1    -55.72960818076
1msa1nta1am1dma-2_7     -55.77692356822
1msa1nta1am1dma-9_10    -55.77419772803
1msa1nta1am1dma-46_6    -55.74202774593
1msa1nta1am1dma-29_6    -55.73354420319
1msa1nta1am1dma-52_9    -55.72909574422
1msa1nta1am1dma-22_2    -55.72596686548
1msa1nta1am1dma-62_11   -55.72762343599
1msa1nta1am1dma-46_1    -55.75595050499
1msa1nta1am1dma-29_1    -55.75804961329
1msa1nta1am1dma-47_10   -55.74024615648
1msa1nta1am1dma-10_7    -55.75763263574
1msa1nta1am1dma-22_5    -55.73339778853
1msa1nta1am1dma-55_4    -55.73448283794
1msa1nta1am1dma-22_11   -55.74165560758
1msa1nta1am1dma-9_4     -55.77249304914
1msa1nta1am1dma-67_6    -55.71868795263
1msa1nta1am1dma-44_10   -55.74440542992
1msa1nta1am1dma-19_1    -55.76499315475
1msa1nta1am1dma-20_7    -55.73073487974
1msa1nta1am1dma-7_8     -55.7678106356 
1msa1nta1am1dma-12_5    -55.74910629918
1msa1nta1am1dma-61_11   -55.72082117405
1msa1nta1am1dma-44_3    -55.72107619102
1msa1nta1am1dma-34_8    -55.73798502368
1msa1nta1am1dma-65_4    -55.7279610937 
1msa1nta1am1dma-21_11   -55.73519615383
1msa1nta1am1dma-57_6    -55.72788976448
1msa1nta1am1dma-38_6    -55.76497734021
1msa1nta1am1dma-43_9    -55.74466108696
1msa1nta1am1dma-33_2    -55.74106667972
1msa1nta1am1dma-65_3    -55.73261241935
1msa1nta1am1dma-15_8    -55.73498216586
1msa1nta1am1dma-57_1    -55.74205479401
1msa1nta1am1dma-38_1    -55.76763105495
1msa1nta1am1dma-33_5    -55.74056469443
1msa1nta1am1dma-19_6    -55.73824590255
1msa1nta1am1dma-62_9    -55.72082290696
1msa1nta1am1dma-12_2    -55.74118131396
1msa1nta1am1dma-44_4    -55.7396770114 
1msa1nta1am1dma-15_6    -55.73844675959
1msa1nta1am1dma-27_4    -55.73907278418
1msa1nta1am1dma-48_4    -55.74844527514
1msa1nta1am1dma-19_8    -55.74882327905
1msa1nta1am1dma-50_5    -55.72817948751
1msa1nta1am1dma-7_1     -55.78519061443
1msa1nta1am1dma-62_7    -55.7215102874 
1msa1nta1am1dma-34_1    -55.75509839501
1msa1nta1am1dma-49_10   -55.72113744714
1msa1nta1am1dma-7_10    -55.76636367402
1msa1nta1am1dma-20_9    -55.73883819145
1msa1nta1am1dma-50_2    -55.72853788899
1msa1nta1am1dma-52_10   -55.7279142464 
1msa1nta1am1dma-7_6     -55.76423764756
1msa1nta1am1dma-34_6    -55.73962798242
1msa1nta1am1dma-15_1    -55.76409283772
1msa1nta1am1dma-27_3    -55.73378723882
1msa1nta1am1dma-57_8    -55.72208889828
1msa1nta1am1dma-37_11   -55.7526022327 
1msa1nta1am1dma-48_3    -55.73594764488
1msa1nta1am1dma-38_8    -55.7527767813 
1msa1nta1am1dma-43_7    -55.73542827548
1msa1nta1am1dma-12_10   -55.74664444189
1msa1nta1am1dma-41_1    -55.75370498877
1msa1nta1am1dma-25_10   -55.76409459384
1msa1nta1am1dma-25_5    -55.76503461507
1msa1nta1am1dma-17_7    -55.73987731098
1msa1nta1am1dma-65_10   -55.7254507077 
1msa1nta1am1dma-60_6    -55.72618513087
1msa1nta1am1dma-40_11   -55.74963825383
1msa1nta1am1dma-52_4    -55.72568510947
1msa1nta1am1dma-36_7    -55.73869670898
1msa1nta1am1dma-5_7     -55.77281887294
1msa1nta1am1dma-60_1    -55.74610832454
1msa1nta1am1dma-59_7    -55.73105522842
1msa1nta1am1dma-52_3    -55.72569014502
1msa1nta1am1dma-22_8    -55.74208385241
1msa1nta1am1dma-41_6    -55.74304062955
1msa1nta1am1dma-9_9     -55.77296956043
1msa1nta1am1dma-55_9    -55.73617439161
1msa1nta1am1dma-25_2    -55.7489715832 
1msa1nta1am1dma-36_9    -55.74792321378
1msa1nta1am1dma-46_2    -55.74082032374
1msa1nta1am1dma-10_4    -55.76570639812
1msa1nta1am1dma-5_9     -55.76827351754
1msa1nta1am1dma-59_9    -55.73092303169
1msa1nta1am1dma-29_2    -55.72608725708
1msa1nta1am1dma-22_6    -55.7321196645 
1msa1nta1am1dma-31_3    -55.74800728122
1msa1nta1am1dma-28_10   -55.73817659756
1msa1nta1am1dma-41_8    -55.732542341  
1msa1nta1am1dma-9_7     -55.76528272051
1msa1nta1am1dma-55_7    -55.73353081268
1msa1nta1am1dma-2_3     -55.76683756189
1msa1nta1am1dma-67_5    -55.71750419185
1msa1nta1am1dma-31_4    -55.74687478108
1msa1nta1am1dma-16_11   -55.72399418204
1msa1nta1am1dma-33_10   -55.73103186084
1msa1nta1am1dma-17_9    -55.71962518709
1msa1nta1am1dma-2_4     -55.767761199  
1msa1nta1am1dma-67_2    -55.72088604226
1msa1nta1am1dma-46_5    -55.73586792474
1msa1nta1am1dma-10_3    -55.76774492952
