Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
1msa1nta1am1dma-27_9    -1136.84573478953 
1msa1nta1am1dma-33_6    -1136.833509105492
1msa1nta1am1dma-38_2    -1136.844418463236
1msa1nta1am1dma-48_9    -1136.826124808538
1msa1nta1am1dma-12_1    -1136.887534699794
1msa1nta1am1dma-19_5    -1136.838019172492
1msa1nta1am1dma-50_8    -1136.821608592952
1msa1nta1am1dma-20_3    -1136.832874013913
1msa1nta1am1dma-44_7    -1136.829748618536
1msa1nta1am1dma-27_7    -1136.831804190529
1msa1nta1am1dma-15_5    -1136.842798885002
1msa1nta1am1dma-33_8    -1136.836564716897
1msa1nta1am1dma-43_3    -1136.841077936517
1msa1nta1am1dma-48_7    -1136.823192977314
1msa1nta1am1dma-62_4    -1136.817851860084
1msa1nta1am1dma-7_5     -1136.857986666933
1msa1nta1am1dma-50_6    -1136.80666699022 
1msa1nta1am1dma-39_10   -1136.832282048349
1msa1nta1am1dma-34_2    -1136.840847634623
1msa1nta1am1dma-44_9    -1136.837135281051
1msa1nta1am1dma-12_8    -1136.848100470153
1msa1nta1am1dma-62_3    -1136.812361394841
1msa1nta1am1dma-50_1    -1136.85588856494 
1msa1nta1am1dma-7_2     -1136.852378096344
1msa1nta1am1dma-22_10   -1136.836910529246
1msa1nta1am1dma-34_5    -1136.832690096676
1msa1nta1am1dma-62_10   -1136.821489102568
1msa1nta1am1dma-15_2    -1136.833612644607
1msa1nta1am1dma-65_9    -1136.8028276327  
1msa1nta1am1dma-43_4    -1136.828792055822
1msa1nta1am1dma-47_11   -1136.83194786166 
1msa1nta1am1dma-55_10   -1136.820155663248
1msa1nta1am1dma-41_2    -1136.822863257005
1msa1nta1am1dma-31_9    -1136.827160649952
1msa1nta1am1dma-17_4    -1136.836240384406
1msa1nta1am1dma-25_6    -1136.851110924447
1msa1nta1am1dma-46_8    -1136.842419520469
1msa1nta1am1dma-36_3    -1136.837482656996
1msa1nta1am1dma-30_11   -1136.833463419738
1msa1nta1am1dma-52_7    -1136.830241127375
1msa1nta1am1dma-5_4     -1136.854054770087
1msa1nta1am1dma-60_5    -1136.810409309988
1msa1nta1am1dma-29_8    -1136.827537880139
1msa1nta1am1dma-59_3    -1136.821970282669
1msa1nta1am1dma-15_10   -1136.839621745388
1msa1nta1am1dma-36_4    -1136.829303089851
1msa1nta1am1dma-5_3     -1136.867189040951
1msa1nta1am1dma-60_2    -1136.799473739724
1msa1nta1am1dma-10_9    -1136.854846510236
1msa1nta1am1dma-4_10    -1136.845090179153
1msa1nta1am1dma-59_4    -1136.817011831591
1msa1nta1am1dma-41_5    -1136.823956302423
1msa1nta1am1dma-67_8    -1136.811739470694
1msa1nta1am1dma-17_3    -1136.841585929525
1msa1nta1am1dma-2_9     -1136.855004299358
1msa1nta1am1dma-25_1    -1136.882218108618
1msa1nta1am1dma-46_1    -1136.86996855792 
1msa1nta1am1dma-18_10   -1136.827741619785
1msa1nta1am1dma-22_5    -1136.827127426405
1msa1nta1am1dma-10_7    -1136.845823183947
1msa1nta1am1dma-29_1    -1136.876642747558
1msa1nta1am1dma-9_3     -1136.861554055437
1msa1nta1am1dma-67_6    -1136.808371170452
1msa1nta1am1dma-2_7     -1136.866449462254
1msa1nta1am1dma-58_10   -1136.816281446763
1msa1nta1am1dma-55_4    -1136.820532046357
1msa1nta1am1dma-43_10   -1136.843830153034
1msa1nta1am1dma-31_7    -1136.851095571239
1msa1nta1am1dma-66_11   -1136.819375658455
1msa1nta1am1dma-9_4     -1136.851425792477
1msa1nta1am1dma-67_1    -1136.849267899416
1msa1nta1am1dma-25_8    -1136.820932879566
1msa1nta1am1dma-55_3    -1136.824653264776
1msa1nta1am1dma-46_6    -1136.831153954612
1msa1nta1am1dma-26_11   -1136.84019441383 
1msa1nta1am1dma-9_10    -1136.857794011746
1msa1nta1am1dma-22_2    -1136.829003253034
1msa1nta1am1dma-52_9    -1136.821515461946
1msa1nta1am1dma-29_6    -1136.838600437633
1msa1nta1am1dma-65_11   -1136.810593130062
1msa1nta1am1dma-57_1    -1136.854557774544
1msa1nta1am1dma-15_8    -1136.838396462597
1msa1nta1am1dma-65_3    -1136.826489393682
1msa1nta1am1dma-40_10   -1136.840310811542
1msa1nta1am1dma-33_5    -1136.836041127432
1msa1nta1am1dma-38_1    -1136.874765300304
1msa1nta1am1dma-12_2    -1136.850108310006
1msa1nta1am1dma-62_9    -1136.808235802955
1msa1nta1am1dma-7_8     -1136.850832938385
1msa1nta1am1dma-19_6    -1136.848146567366
1msa1nta1am1dma-25_11   -1136.836200952183
1msa1nta1am1dma-44_4    -1136.828148217675
1msa1nta1am1dma-12_5    -1136.84640009825 
1msa1nta1am1dma-20_7    -1136.819797625857
1msa1nta1am1dma-19_1    -1136.884668242461
1msa1nta1am1dma-34_8    -1136.826208966918
1msa1nta1am1dma-44_3    -1136.813337443233
1msa1nta1am1dma-57_6    -1136.821015618809
1msa1nta1am1dma-65_4    -1136.808115001098
1msa1nta1am1dma-33_2    -1136.829184276518
1msa1nta1am1dma-43_9    -1136.852117640871
1msa1nta1am1dma-38_6    -1136.853702774676
1msa1nta1am1dma-28_11   -1136.851213032822
1msa1nta1am1dma-7_1     -1136.892352077298
1msa1nta1am1dma-50_2    -1136.817834596044
1msa1nta1am1dma-20_9    -1136.832098452681
1msa1nta1am1dma-7_10    -1136.850741480601
1msa1nta1am1dma-34_6    -1136.81460847684 
1msa1nta1am1dma-57_8    -1136.810083092094
1msa1nta1am1dma-27_3    -1136.828605914242
1msa1nta1am1dma-15_1    -1136.884894968348
1msa1nta1am1dma-43_7    -1136.816680965003
1msa1nta1am1dma-38_8    -1136.836955657074
1msa1nta1am1dma-48_3    -1136.826630340088
1msa1nta1am1dma-27_4    -1136.835095235779
1msa1nta1am1dma-15_6    -1136.838690281781
1msa1nta1am1dma-56_10   -1136.824355860238
1msa1nta1am1dma-48_4    -1136.838116501028
1msa1nta1am1dma-62_7    -1136.811227788407
1msa1nta1am1dma-50_5    -1136.825348268291
1msa1nta1am1dma-7_6     -1136.840214405218
1msa1nta1am1dma-19_8    -1136.83197516427 
1msa1nta1am1dma-16_10   -1136.846158415769
1msa1nta1am1dma-34_1    -1136.868566960276
1msa1nta1am1dma-33_11   -1136.813530096542
1msa1nta1am1dma-21_10   -1136.821490739452
1msa1nta1am1dma-36_7    -1136.839879798038
1msa1nta1am1dma-22_8    -1136.84015948493 
1msa1nta1am1dma-52_3    -1136.823357591292
1msa1nta1am1dma-59_7    -1136.828153031327
1msa1nta1am1dma-60_1    -1136.857079262881
1msa1nta1am1dma-44_11   -1136.831127504824
1msa1nta1am1dma-41_6    -1136.838503471604
1msa1nta1am1dma-61_10   -1136.813446958615
1msa1nta1am1dma-25_2    -1136.830670447013
1msa1nta1am1dma-55_9    -1136.826437523756
1msa1nta1am1dma-41_1    -1136.872319647324
1msa1nta1am1dma-17_7    -1136.836261535336
1msa1nta1am1dma-9_9     -1136.863741713396
1msa1nta1am1dma-25_5    -1136.855460808613
1msa1nta1am1dma-5_7     -1136.849120019909
