Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-5
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/G...
1sa1msa1am1dma-99_11   -61.52976754898
1sa1msa1am1dma-27_10   -61.52624711435
1sa1msa1am1dma-96_3    -61.5167610113 
1sa1msa1am1dma-52_5    -61.52875932679
1sa1msa1am1dma-59_1    -61.54560237547
1sa1msa1am1dma-60_7    -61.52233518279
1sa1msa1am1dma-104_9   -61.50586623411
1sa1msa1am1dma-36_1    -61.54413944146
1sa1msa1am1dma-122_4   -61.49060100462
1sa1msa1am1dma-89_8    -61.51846592244
1sa1msa1am1dma-74_8    -61.51898889618
1sa1msa1am1dma-110_6   -61.50373905013
1sa1msa1am1dma-96_4    -61.51168267557
1sa1msa1am1dma-22_9    -61.52530891888
1sa1msa1am1dma-52_2    -61.52161072942
1sa1msa1am1dma-59_6    -61.52916817642
1sa1msa1am1dma-19_11   -61.54261106699
1sa1msa1am1dma-36_6    -61.52719624841
1sa1msa1am1dma-122_3   -61.48128945011
1sa1msa1am1dma-129_7   -61.48191033798
1sa1msa1am1dma-110_1   -61.52697400937
1sa1msa1am1dma-82_11   -61.54018857926
1sa1msa1am1dma-17_1    -61.55222891444
1sa1msa1am1dma-103_4   -61.51166048178
1sa1msa1am1dma-112_10  -61.50523132406
1sa1msa1am1dma-25_3    -61.52941953422
1sa1msa1am1dma-131_6   -61.49519966933
1sa1msa1am1dma-55_8    -61.52280919561
1sa1msa1am1dma-73_5    -61.50531031835
1sa1msa1am1dma-137_11  -61.51259793938
1sa1msa1am1dma-6_7     -61.5540201672 
1sa1msa1am1dma-59_11   -61.52172260055
1sa1msa1am1dma-125_9   -61.47911474026
1sa1msa1am1dma-41_7    -61.51609975709
1sa1msa1am1dma-78_1    -61.54297274967
1sa1msa1am1dma-85_1    -61.53859590281
1sa1msa1am1dma-109_1   -61.52819363403
1sa1msa1am1dma-24_2    -61.51248316753
1sa1msa1am1dma-130_7   -61.48184156836
1sa1msa1am1dma-54_9    -61.52535315616
1sa1msa1am1dma-102_5   -61.51217419962
