filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  DeltaG(kcal/mol)     DeltaH(kcal/mol)     DeltaS(kcal/(K*mol))
2mbtca1sa2tma-10202000_1_268-str31      2mbtca1sa2tma                          -37.3000295193342    -92.87115616805386   -0.1863864720738599
2sa1cha1dma1am-21000101_5_852-str4      1am1cha1dma2sa                         -53.76441116433125   -104.21371449122671  -0.16920779247592121
2sa1mbtca2tma-20102000_1_923-str21      1mbtca2sa2tma                          -50.794653889752226  -103.19263703579782  -0.17574369661477746
2dma2mbtca1sa-10200200_3_451-str22      2dma2mbtca1sa                          -42.003201154700946  -97.90503670606995   -0.18749567516780433
2sa1mbtca2dma-20100200_7_974-str96      2dma1mbtca2sa                          -57.44455149990972   -110.74579227168579  -0.17877323753543967
2mbtca2sa1tma-20201000_3_528-str29      2mbtca2sa1tma                          -46.24727675023314   -103.90183741113287  -0.19337434398953895
2sa1pdpe1dma1ma-20010110_9_333-str2     1dma1ma1pdpe2sa                        -59.165087873116136  -112.96105671022087  -0.18043256359778223
2sa1cha1tma1am-21001001_5_656-str60     1am1cha2sa1tma                         -50.83579022700724   -102.68845282579423  -0.17391468253791506
2sa1cha1tma1ma-21001010_5_577-str95     1cha1ma2sa1tma                         -56.978388384290156  -109.77369448999525  -0.17707632435142476
2sa1cha1dma1ma-21000110_5_804-str95     1cha1dma1ma2sa                         -59.547328786575235  -111.73838980484288  -0.1750496763987084
2sa1pdpe1tma1ma-20011010_9_813-str52    1ma1pdpe2sa1tma                        -54.96479145002377   -108.51429455776815  -0.17960591349162192
2sa1pdpe1tma1am-20011001_5_829-str60    1am1pdpe2sa1tma                        -49.66544575158332   -101.69264323686366  -0.1745000754134025
2sa1pdpe1ma1am-20010011_10_764-str54    1am1ma1pdpe2sa                         -50.70162814296782   -102.09448008867912  -0.17237247005081746
2sa1cha1tma1dma-21001100_9_695-str43    1cha1dma2sa1tma                        -55.975376945061726  -110.85039281859645  -0.18405170509190455
2sa1mbtca1dma1ma-20100110_4_774-str5    1dma1ma1mbtca2sa                       -57.544799710274674  -109.00924274919089  -0.17261258775317018
2sa1mbtca1ma1am-20100011_9_132-str24    1am1ma1mbtca2sa                        -45.424364704522304  -96.01143130811397   -0.16966985277031021
2sa1pdpe1dma1am-20010101_5_557-str34    1am1dma1pdpe2sa                        -51.52581199980341   -103.26328835333697  -0.17352834597570221
2sa1pdpe1tma1dma-20011100_6_704-str18   1dma1pdpe2sa1tma                       -58.909961669080076  -112.94416482982342  -0.1812316054334583
2sa1mbtca1tma1am-20101001_9_172-str33   1am1mbtca2sa1tma                       -48.90409515677311   -99.77895723414258   -0.17063512352024224
