Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
1msa1am1dma-24_3    -38.0038297592 
1msa1am1dma-9_1     -38.03279649798
1msa1am1dma-2_5     -38.01900434371
1msa1am1dma-16_1    -38.02654603261
1msa1am1dma-23_9    -38.01410233751
1msa1am1dma-5_8     -38.01794171589
1msa1am1dma-13_10   -38.00781433032
1msa1am1dma-24_4    -38.01134834115
1msa1am1dma-9_6     -38.01523395496
1msa1am1dma-2_2     -38.01083923069
1msa1am1dma-16_6    -38.0104310933 
1msa1am1dma-28_4    -37.98930658062
1msa1am1dma-11_2    -38.00848619084
1msa1am1dma-5_6     -38.01109206566
1msa1am1dma-30_5    -37.99339058831
1msa1am1dma-20_11   -38.01037231257
1msa1am1dma-9_8     -38.01353948583
1msa1am1dma-16_8    -38.0177180459 
1msa1am1dma-30_2    -37.98619897697
1msa1am1dma-1_10    -38.01601184542
1msa1am1dma-28_3    -37.99074733962
1msa1am1dma-11_5    -38.00901769421
1msa1am1dma-5_1     -38.03820407402
1msa1am1dma-23_7    -38.01178418246
1msa1am1dma-15_9    -38.00625289378
1msa1am1dma-12_3    -38.00519325535
1msa1am1dma-15_11   -38.01507636528
1msa1am1dma-6_7     -38.01594925092
1msa1am1dma-19_7    -38.00729045497
1msa1am1dma-20_1    -38.0261813853 
1msa1am1dma-30_10   -37.98120828769
1msa1am1dma-12_4    -38.0028466186 
1msa1am1dma-20_6    -38.00613889011
1msa1am1dma-7_11    -38.01035771574
1msa1am1dma-20_8    -38.00603545456
1msa1am1dma-18_11   -38.00781818492
1msa1am1dma-27_2    -37.98536963435
1msa1am1dma-1_4     -38.03187157708
1msa1am1dma-27_5    -37.99180036358
1msa1am1dma-1_3     -38.02895069695
1msa1am1dma-15_7    -38.01364244098
1msa1am1dma-6_9     -38.02331152014
1msa1am1dma-19_9    -38.00413692628
1msa1am1dma-26_10   -37.98456612439
1msa1am1dma-11_10   -38.00274116557
1msa1am1dma-22_9    -38.01186534688
1msa1am1dma-17_1    -38.02531218989
1msa1am1dma-3_5     -38.0165335708 
1msa1am1dma-8_1     -38.0373733351 
1msa1am1dma-25_3    -38.00443913611
1msa1am1dma-17_6    -38.00794571472
1msa1am1dma-3_2     -38.00938513044
1msa1am1dma-8_6     -38.02684600226
1msa1am1dma-25_4    -38.00812713958
1msa1am1dma-4_8     -38.02036091387
1msa1am1dma-31_5    -37.98793140161
1msa1am1dma-17_8    -38.00901077878
1msa1am1dma-8_8     -38.02875389792
1msa1am1dma-4_6     -38.02421708857
1msa1am1dma-10_2    -38.01101952384
1msa1am1dma-29_4    -37.99593829384
1msa1am1dma-3_10    -38.01973611506
1msa1am1dma-22_11   -37.99738471614
1msa1am1dma-22_7    -38.00815093439
1msa1am1dma-4_1     -38.04156103927
1msa1am1dma-10_5    -38.01075733938
1msa1am1dma-29_3    -37.99646547928
1msa1am1dma-31_2    -37.99820000146
1msa1am1eda-52_11   -41.7762886618 
1msa1am1eda-30_3    -41.80064457155
1msa1am1eda-40_8    -41.77005715249
1msa1am1eda-1_11    -41.79142501855
1msa1am1eda-66_5    -41.7459885304 
1msa1am1eda-54_7    -41.76296365528
1msa1am1eda-1_1     -41.80771338868
1msa1am1eda-37_10   -41.78181835569
1msa1am1eda-37_9    -41.7808195288 
1msa1am1eda-47_2    -41.76693395282
1msa1am1eda-12_11   -41.78534893673
1msa1am1eda-23_6    -41.78808957947
1msa1am1eda-58_9    -41.78422279209
1msa1am1eda-28_2    -41.7867916684 
1msa1am1eda-11_4    -41.78770615262
1msa1am1eda-47_5    -41.77456840959
1msa1am1eda-23_1    -41.80501325871
1msa1am1eda-28_5    -41.78100997163
1msa1am1eda-11_3    -41.78942101186
1msa1am1eda-61_8    -41.76610049562
1msa1am1eda-30_4    -41.7849897747 
1msa1am1eda-16_9    -41.79269580271
1msa1am1eda-66_2    -41.7512843575 
1msa1am1eda-1_6     -41.78669534168
1msa1am1eda-49_11   -41.76656668643
1msa1am1eda-6_2     -41.79714302166
1msa1am1eda-53_4    -41.76884490011
1msa1am1eda-61_6    -41.76734059162
1msa1am1eda-72_3    -41.75378820779
1msa1am1eda-40_1    -41.7981196442 
1msa1am1eda-16_7    -41.79270854307
1msa1am1eda-1_8     -41.79196190885
1msa1am1eda-24_5    -41.79038804083
1msa1am1eda-72_4    -41.75596581652
1msa1am1eda-40_6    -41.77530802809
1msa1am1eda-44_11   -41.77930889814
1msa1am1eda-54_9    -41.76320010202
1msa1am1eda-24_2    -41.78630666512
1msa1am1eda-61_10   -41.77489537909
1msa1am1eda-37_7    -41.78500010477
1msa1am1eda-21_10   -41.79123073671
1msa1am1eda-53_3    -41.76374778807
1msa1am1eda-6_5     -41.7908062005 
1msa1am1eda-23_8    -41.78695585762
1msa1am1eda-58_7    -41.77534541398
1msa1am1eda-61_1    -41.78620013865
1msa1am1eda-63_7    -41.76848374015
1msa1am1eda-16_10   -41.79526961771
1msa1am1eda-51_5    -41.75879714346
1msa1am1eda-4_3     -41.79380587737
1msa1am1eda-68_3    -41.74862050566
1msa1am1eda-18_8    -41.7800703717 
1msa1am1eda-33_11   -41.77960361285
1msa1am1eda-35_1    -41.79775977907
1msa1am1eda-73_11   -41.73640611425
1msa1am1eda-26_4    -41.77543685678
1msa1am1eda-3_9     -41.79080129688
1msa1am1eda-14_6    -41.79460583679
1msa1am1eda-56_10   -41.75563561883
1msa1am1eda-49_4    -41.77043043515
1msa1am1eda-5_10    -41.79567620488
1msa1am1eda-70_2    -41.75144134179
1msa1am1eda-26_3    -41.78611584871
1msa1am1eda-56_8    -41.76773662836
1msa1am1eda-14_1    -41.80498905603
1msa1am1eda-42_7    -41.77723767285
1msa1am1eda-49_3    -41.78119294468
1msa1am1eda-39_8    -41.78800534691
1msa1am1eda-68_11   -41.743867477  
1msa1am1eda-70_5    -41.75952285311
1msa1am1eda-21_9    -41.78860849182
1msa1am1eda-4_4     -41.79278496295
1msa1am1eda-51_2    -41.75655155823
1msa1am1eda-28_11   -41.77562141512
1msa1am1eda-68_4    -41.75535271038
1msa1am1eda-35_6    -41.77095552608
