#CLUSTER            ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1am3eda3sa          -75.79312035860494   -151.5590706539806   -254.1202424782907
1am1ma4sa1tma       -75.80155786022078   -150.89639877688023  -251.8693305935658
2dma1eda3sa         -75.89271309622563   -139.87429620418698  -214.59528126011588
1am2ma4sa           -75.95109834731556   -148.6302828937769   -243.76717942677595
1am2eda3sa1tma      -76.03486005857121   -151.2422530243348   -252.24683201515145
2am1eda4sa          -76.0789435042534    -149.7658734647557   -247.14717410752974
1am1dma1ma3sa1tma   -76.16877046728041   -149.3610948889691   -245.48825900238953
1dma3sa3tma         -76.18248532281723   -151.30277223524172  -251.95467688089533
3eda3sa             -76.56643783207983   -143.70938638132066  -225.1985529049323
1eda1ma3sa2tma      -76.71332594635896   -151.97896379436133  -252.4421863074044
1eda3ma3sa          -76.79981014993973   -151.43970780540258  -250.34344342087
3ma3sa1tma          -76.80560055735987   -151.4247250519402   -250.27376989342747
3dma3sa             -76.92268993053585   -140.2031148634851   -212.2435852168141
1am1dma2eda3sa      -77.09721238585189   -152.41473003732972  -252.61619202271362
1eda3sa3tma         -77.37809749448206   -153.63090726535302  -255.75317716228352
1am2dma1ma3sa       -77.75961916078813   -151.17874072142877  -246.2489403330822
1dma3ma3sa          -78.1238311000634    -152.09673471399583  -248.1063344414515
4am4sa              -78.2056312118657    -157.16427617683075  -264.82859287070096
2eda3sa2tma         -78.39389161905274   -155.89041025046026  -259.924597121271
1am1dma1ma4sa       -79.03569158748724   -152.3452097272966   -245.88132865725967
1am4sa2tma          -79.18830463383347   -154.4656886893208   -252.48158327970117
1am2dma1eda3sa      -79.22621859051287   -154.02788400813006  -250.8860151508534
2eda1ma3sa1tma      -79.49455333396327   -156.61769041905063  -258.6722692782911
1dma1ma3sa2tma      -79.56024788250215   -154.38028095959453  -250.947620583462
1eda2ma3sa1tma      -80.00807842088398   -154.99407187264296  -251.50425440451383
1am2dma3sa1tma      -80.0285243842518    -153.5741674026649   -246.673295382077
3eda3sa1tma         -80.20555933762807   -159.9865856503311   -267.58687342757844
2eda2ma3sa          -80.2363933576271    -156.05998784466647  -254.31358204570466
1am3dma3sa          -80.25371172232553   -154.6127104908228   -249.4013039366524
1dma1eda2ma3sa      -80.31385794095695   -155.6144699268043   -252.55949014225064
3eda1ma3sa          -80.44956220104359   -157.7411157276947   -259.2371407892436
1dma2ma3sa1tma      -80.45362455828581   -155.43205939393374  -251.47890268559038
3am1ma4sa           -80.48757796501741   -162.5345404110849   -275.1868604572777
1dma1eda1ma3sa1tma  -80.7051496146014    -157.77577716155793  -258.4961514220329
4eda3sa             -80.78022477892227   -159.02948672231287  -262.44931056091036
1am1dma4sa1tma      -80.79403629282024   -153.79158807729254  -244.83498837524687
2dma3sa2tma         -81.07409813674167   -156.3549557690858   -252.49323371539614
1am1eda1ma4sa       -81.71691764541902   -156.712461655261    -251.53628713316013
1dma1eda3sa2tma     -81.88669612701051   -160.02470899367472  -262.07617932600465
1dma2eda1ma3sa      -81.97328004008159   -158.6579627529718   -257.20168610759276
1dma2eda3sa1tma     -82.03617364296224   -159.15686241394724  -258.66405759025656
2dma2ma3sa          -82.25709516066127   -157.50261703319848  -252.3747169958399
1am2dma4sa          -82.32235893118195   -155.97173779574223  -247.0212271142389
2dma1ma3sa1tma      -82.91813956701662   -158.18303975785966  -252.43971219471828
3ma4sa              -83.00455015711486   -157.11392950173467  -248.56407628429727
3am1eda4sa          -83.11008053109981   -166.3983788706828   -279.35032144634954
2ma4sa1tma          -83.2484355600318    -158.39265579960193  -252.0349496540347
2dma1eda3sa1tma     -83.96692279994022   -162.04225324487197  -261.86594145429126
4sa3tma             -84.00989607779775   -161.22319954109844  -258.974688791379
2dma1eda1ma3sa      -84.31795018073171   -159.7653422129806   -253.05179282871765
1dma2ma4sa          -84.37462437176146   -158.75281148171052  -249.46566194886015
3am4sa1tma          -84.80479847977404   -167.3630728320859   -276.90180899367886
1dma3eda3sa         -84.9021275578998    -164.2802249842789   -266.23544331839753
1ma4sa2tma          -84.9399672569707    -161.49392214015825  -256.76322281651386
1am1eda4sa1tma      -84.96474648534786   -162.55696852967958  -260.2455879363506
3dma1ma3sa          -85.10158951184712   -160.2943745253142   -252.19783670425076
3dma3sa1tma         -85.32448701665271   -161.13349676664802  -254.26466459989422
1dma4sa2tma         -85.40367479412816   -162.9384592109709   -260.05294119267495
3dma1eda3sa         -85.69834307814017   -162.52017408562824  -257.661683739949
1am2eda4sa          -86.22702866070904   -162.27911683451384  -255.07995362732822
1eda2ma4sa          -86.31974855670705   -162.51315312064253  -255.5539311201597
1am1dma1eda4sa      -86.42484645894729   -161.38263260875829  -251.40964665334906
4dma3sa             -86.68833899591118   -161.91218619886786  -252.3020197993465
2am2ma4sa           -86.9128985721618    -170.2414488531649   -279.4853271203347
1dma1eda1ma4sa      -87.00881982408464   -163.76043104892597  -257.42616543463316
2am1dma1ma4sa       -87.12526500644162   -170.6143718585372   -280.02383649640774
1eda1ma4sa1tma      -87.33976823475678   -164.3479620278522   -258.28674758446755
2dma2eda3sa         -87.34551954944618   -166.06253971764818  -264.01817933173334
1dma1ma4sa1tma      -87.49397519079503   -162.5921350682329   -251.88046244276632
3am1dma4sa          -87.57230606488883   -170.19188823061995  -277.10743640836284
2dma1ma4sa          -87.80777830141596   -162.82930766162463  -251.62344242894162
2am1eda1ma4sa       -88.21218949975446   -173.50061221187934  -286.0587714627938
3dma4sa             -88.58320498163812   -165.44136943877675  -257.78354672738794
2eda4sa1tma         -89.54665325128008   -168.60477489532786  -265.1622392888436
1dma1eda4sa1tma     -89.95047820999753   -169.2838104145776   -266.0853000318272
2am1eda4sa1tma      -89.96799221949186   -177.55581300353515  -293.77099038578933
2am4sa2tma          -90.3529369623866    -175.02934137982083  -284.0060520440786
2am1ma4sa1tma       -90.69407955615316   -175.92926959876786  -285.8802282137749
2dma4sa1tma         -90.8966552343918    -168.23602424768615  -259.3975147173811
1am3ma4sa           -91.00044509605505   -175.863166480558    -284.6309622158609
2eda1ma4sa          -91.08412819122896   -169.19207634427585  -261.9753417836264
2am2eda4sa          -91.09086921741255   -178.43568331282586  -292.9559419575222
2am1dma1eda4sa      -91.82677596574649   -178.78674493986182  -291.665165096822
2am1dma4sa1tma      -92.22101799293887   -176.63085299517843  -283.1119738448667
1am1ma4sa2tma       -92.3148047127761    -180.00635738665005  -294.11890884885713
1eda4sa2tma         -93.2602576946374    -173.0826455684728   -267.7256007827034
2am2dma4sa          -93.52396541880444   -178.9898763075471   -286.65406972752544
1dma2eda4sa         -93.62066400935873   -174.35314207035117  -270.7780582288952
1am1eda2ma4sa       -93.6992237791419    -179.64012466766872  -288.2471939908596
1am1dma2ma4sa       -94.52200524392538   -179.32669708598405  -284.43633017448076
1am1eda1ma4sa1tma   -95.36252195120323   -181.63840800893377  -289.37073975249183
1am2eda4sa1tma      -96.41040203592274   -188.68141116967308  -309.4784810767421
2dma1eda4sa         -96.48854518216103   -175.38817305257544  -264.63064856640176
1am1dma4sa2tma      -96.6217874684371    -184.2457895206171   -293.8923429534104
4ma4sa              -96.72433744883165   -182.68169141793624  -288.3023778935959
1am2dma1ma4sa       -96.74972268054262   -183.66322319582105  -291.5093091209347
1am2eda1ma4sa       -96.82000963622704   -185.65974513394758  -297.96993290963917
1am1eda4sa2tma      -97.07056410051882   -186.4649277042481   -299.8301646917939
1am1dma1eda4sa1tma  -97.07413799397182   -186.03669948523748  -298.38189331408773
3eda4sa             -97.17887225328013   -179.4096896436531   -275.8035129646063
1am2ma4sa1tma       -97.20960672933143   -183.93144303534064  -290.8664642154638
1am4sa3tma          -97.317088442971     -185.24375949020032  -294.90749973923664
1am1dma1eda1ma4sa   -97.39556362549774   -186.08320751879364  -297.45981516850713
1am2dma4sa1tma      -98.3598124141572    -184.39803267663228  -288.5736047716112
1am1dma1ma4sa1tma   -98.50327614566777   -183.71627012753743  -285.8057822625728
1am3eda4sa          -98.63009990053251   -194.0381847114768   -320.0002844579712
1eda3ma4sa          -99.06539609562606   -188.07527909008786  -298.54061041045685
1am1dma2eda4sa      -99.25384330679663   -191.49437079997733  -309.37624515418815
