Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1eda-56_10      -515.299143032135 
1fa1dma1eda-62_8       -515.302314352634 
1fa1dma1eda-12_3       -515.319698452321 
1fa1dma1eda-44_5       -515.300029183472 
1fa1dma1eda-65_2       -515.322327413412 
1fa1dma1eda-15_9       -515.312858163976 
1fa1dma1eda-33_11      -515.305120221973 
1fa1dma1eda-33_4       -515.30758803263  
1fa1dma1eda-16_10      -515.329871201763 
1fa1dma1eda-40_10      -515.288077988486 
1fa1dma1eda-7_8        -515.317654226883 
1fa1dma1eda-19_9       -515.312923413116 
1fa1dma1eda-50_4       -515.316068076062 
1fa1dma1eda-62_6       -515.295731739194 
1fa1dma1eda-65_11      -515.313926779953 
1fa1dma1eda-15_7       -515.31321527106  
1fa1dma1eda-25_11      -515.312735079348 
1fa1dma1eda-27_5       -515.293433968112 
1fa1dma1eda-48_5       -515.307067443908 
1fa1dma1eda-43_1       -515.350168313605 
1fa1dma1eda-27_2       -515.309943091679 
1fa1dma1eda-57_9       -515.295498950976 
1fa1dma1eda-48_2       -515.303741207473 
1fa1dma1eda-38_9       -515.295938626425 
1fa1dma1eda-43_6       -515.313965687101 
1fa1dma1eda-7_11       -515.314855653994 
1fa1dma1eda-20_8       -515.328535092978 
1fa1dma1eda-50_3       -515.302877840676 
1fa1dma1eda-62_1       -515.347209823753 
1fa1dma1eda-34_7       -515.305979051217 
1fa1dma1eda-21_9       -515.308245821104 
1fa1dma1eda-51_2       -515.286105264506 
1fa1dma1eda-68_4       -515.319502791532 
1fa1dma1eda-35_6       -515.290793644437 
1fa1dma1eda-27_10      -515.308505858879 
1fa1dma1eda-1_4        -515.324556599352 
1fa1dma1eda-26_3       -515.315503338829 
1fa1dma1eda-56_8       -515.315018218898 
1fa1dma1eda-67_10      -515.30908026458  
1fa1dma1eda-14_1       -515.357193215536 
1fa1dma1eda-42_7       -515.301957130234 
1fa1dma1eda-42_11      -515.309922855449 
1fa1dma1eda-49_3       -515.308916093996 
1fa1dma1eda-39_8       -515.308367723563 
1fa1dma1eda-1_3        -515.313992316005 
1fa1dma1eda-26_4       -515.305542093117 
1fa1dma1eda-59_11      -515.304427971857 
1fa1dma1eda-14_6       -515.322702509273 
1fa1dma1eda-49_4       -515.312857356855 
1fa1dma1eda-5_10       -515.315040584739 
1fa1dma1eda-63_7       -515.305075673813 
1fa1dma1eda-51_5       -515.308135249883 
1fa1dma1eda-6_9        -515.317684766748 
1fa1dma1eda-68_3       -515.307383370213 
1fa1dma1eda-18_8       -515.300427620024 
1fa1dma1eda-19_11      -515.316015141419 
1fa1dma1eda-35_1       -515.352866836418 
1fa1dma1eda-56_1       -515.348950200913 
1fa1dma1eda-64_3       -515.313376640201 
1fa1dma1eda-14_8       -515.321555290666 
1fa1dma1eda-32_5       -515.305450773749 
1fa1dma1eda-39_1       -515.352990674179 
1fa1dma1eda-63_9       -515.286609745928 
1fa1dma1eda-13_2       -515.322125026561 
1fa1dma1eda-18_6       -515.324557894254 
1fa1dma1eda-6_7        -515.326960769912 
1fa1dma1eda-45_4       -515.302334676453 
1fa1dma1eda-13_5       -515.326125597352 
1fa1dma1eda-14_11      -515.32918989117  
1fa1dma1eda-21_7       -515.315978802195 
1fa1dma1eda-18_1       -515.356424801527 
1fa1dma1eda-31_10      -515.309724108194 
1fa1dma1eda-45_3       -515.307841146743 
1fa1dma1eda-35_8       -515.284085901683 
1fa1dma1eda-56_6       -515.302636139399 
1fa1dma1eda-8_10       -515.319807391052 
1fa1dma1eda-64_4       -515.302614163644 
1fa1dma1eda-54_11      -515.32011491329  
1fa1dma1eda-42_9       -515.301464739982 
1fa1dma1eda-32_2       -515.316764133885 
1fa1dma1eda-39_6       -515.319528230093 
1fa1dma1eda-30_4       -515.307109654696 
1fa1dma1eda-46_10      -515.307456569667 
1fa1dma1eda-16_9       -515.312838696107 
1fa1dma1eda-8_8        -515.329581516939 
1fa1dma1eda-66_2       -515.312977993066 
1fa1dma1eda-63_11      -515.304289943821 
1fa1dma1eda-47_5       -515.310974549642 
1fa1dma1eda-23_11      -515.304347510022 
1fa1dma1eda-4_6        -515.312817981008 
1fa1dma1eda-23_1       -515.354032752927 
1fa1dma1eda-28_5       -515.325550633261 
1fa1dma1eda-11_3       -515.335194913024 
1fa1dma1eda-61_8       -515.326402955104 
1fa1dma1eda-37_9       -515.301091389479 
1fa1dma1eda-47_2       -515.288682865419 
1fa1dma1eda-4_1        -515.358573561058 
1fa1dma1eda-23_6       -515.312121625064 
1fa1dma1eda-38_11      -515.310026598988 
1fa1dma1eda-58_9       -515.306734633152 
1fa1dma1eda-28_2       -515.307705971256 
1fa1dma1eda-11_4       -515.31100694798  
1fa1dma1eda-30_3       -515.312860330287 
1fa1dma1eda-40_8       -515.295713110494 
1fa1dma1eda-1_11       -515.28723000886  
1fa1dma1eda-66_5       -515.297634016844 
1fa1dma1eda-54_7       -515.31058606185  
1fa1dma1eda-37_7       -515.302330543331 
1fa1dma1eda-53_3       -515.31670843059  
1fa1dma1eda-23_8       -515.297128511195 
1fa1dma1eda-58_7       -515.302209873149 
1fa1dma1eda-61_1       -515.349902943597 
1fa1dma1eda-40_6       -515.322470549171 
1fa1dma1eda-8_1        -515.358132134324 
1fa1dma1eda-54_9       -515.305371968369 
1fa1dma1eda-24_2       -515.301934632186 
1fa1dma1eda-3_5        -515.31085528916  
1fa1dma1eda-50_10      -515.291020682555 
1fa1dma1eda-40_1       -515.350400077153 
1fa1dma1eda-8_6        -515.31177061605  
1fa1dma1eda-16_7       -515.31744910295  
1fa1dma1eda-24_5       -515.304077222145 
1fa1dma1eda-3_2        -515.302045973565 
1fa1dma1eda-35_11      -515.297916555215 
1fa1dma1eda-10_10      -515.311878041059 
1fa1dma1eda-4_8        -515.308833394023 
1fa1dma1eda-53_4       -515.313319808888 
1fa1dma1eda-61_6       -515.307432384672 
1fa1dma1eda-15_1       -515.357305664633 
1fa1dma1eda-57_8       -515.307691676649 
1fa1dma1eda-27_3       -515.317831989928 
1fa1dma1eda-38_8       -515.312338114315 
1fa1dma1eda-48_3       -515.30665672803  
1fa1dma1eda-43_7       -515.288469711246 
1fa1dma1eda-7_10       -515.314548102287 
1fa1dma1eda-50_2       -515.29426956529  
1fa1dma1eda-20_9       -515.30922950039  
1fa1dma1eda-34_6       -515.304580727038 
1fa1dma1eda-19_8       -515.310240226559 
1fa1dma1eda-7_9        -515.322893538528 
1fa1dma1eda-40_11      -515.288493407013 
1fa1dma1eda-50_5       -515.307785236568 
1fa1dma1eda-62_7       -515.306050121758 
1fa1dma1eda-65_10      -515.318324213444 
1fa1dma1eda-34_1       -515.353630750811 
1fa1dma1eda-15_6       -515.319372243184 
1fa1dma1eda-25_10      -515.310307036697 
1fa1dma1eda-27_4       -515.31363373293  
1fa1dma1eda-48_4       -515.314910661289 
1fa1dma1eda-7_7        -515.316105482921 
1fa1dma1eda-19_6       -515.330401509782 
1fa1dma1eda-56_11      -515.295794374798 
1fa1dma1eda-12_2       -515.311416309773 
1fa1dma1eda-62_9       -515.294229418868 
1fa1dma1eda-44_4       -515.310635295811 
1fa1dma1eda-15_8       -515.313694141758 
1fa1dma1eda-65_3       -515.308841676542 
1fa1dma1eda-57_1       -515.351132620049 
1fa1dma1eda-33_10      -515.300768661883 
1fa1dma1eda-38_1       -515.352354181238 
1fa1dma1eda-33_5       -515.307153252627 
1fa1dma1eda-16_11      -515.318957524997 
1fa1dma1eda-65_4       -515.319530744573 
1fa1dma1eda-57_6       -515.30938676507  
1fa1dma1eda-28_10      -515.310786533656 
