Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
1dma1eda-3_4       -325.5597565337   
1dma1eda-12_8      -325.546735875073 
1dma1eda-8_7       -325.569118044289 
1dma1eda-3_3       -325.569545186914 
1dma1eda-15_2      -325.564625528833 
1dma1eda-4_9       -325.565486539327 
1dma1eda-17_4      -325.558704157635 
1dma1eda-1_5       -325.548428069908 
1dma1eda-11_11     -325.557096877436 
1dma1eda-1_2       -325.548126027768 
1dma1eda-10_9      -325.549419062588 
1dma1eda-4_10      -325.560612646708 
1dma1eda-6_8       -325.55217935999  
1dma1eda-17_3      -325.557436316821 
1dma1eda-10_7      -325.552736268883 
1dma1eda-6_6       -325.55344706714  
1dma1eda-6_1       -325.586706128857 
1dma1eda-9_10      -325.555286002031 
1dma1tma-1_6       -309.489008912548 
1dma1tma-1_1       -309.526145474908 
1dma1tma-5_11      -309.485861254028 
1dma1tma-1_8       -309.485078362417 
1dma1tma-4_4       -309.484233432652 
1dma1tma-4_3       -309.491240206586 
1dma1tma-3_9       -309.480546381745 
1dma1tma-3_7       -309.49392358808  
1dma1tma-1_10      -309.481582518423 
1dma1tma-5_4       -309.486033388643 
1dma1tma-2_9       -309.478374766218 
1dma1tma-5_3       -309.490973457456 
1dma1tma-2_7       -309.493824275774 
1dma1tma-3_10      -309.49007693931  
1dma1tma-3_1       -309.524005426863 
1dma1tma-1_11      -309.489017375622 
1dma1tma-3_6       -309.497166640701 
1dma1tma-4_2       -309.496615382414 
1dma1tma-3_8       -309.481037080848 
1dma1tma-4_5       -309.497731253291 
1dma1tma-5_10      -309.496824438223 
1dma1tma-1_9       -309.498439824268 
1dma1tma-1_7       -309.486439717622 
1dma1tma-2_1       -309.525727948659 
1dma1tma-2_6       -309.487879948125 
1dma1tma-3_11      -309.484008201607 
1dma1tma-2_8       -309.485249754164 
1dma1tma-5_2       -309.490720123573 
1dma1tma-5_5       -309.495044269718 
1dma1tma-2_5       -309.492792061325 
1dma1tma-5_8       -309.482596711688 
1dma1tma-2_2       -309.487361940092 
1dma1tma-5_6       -309.494593761792 
1dma1tma-4_10      -309.49323397202  
1dma1tma-5_1       -309.521768883511 
1dma1tma-3_5       -309.501568586169 
1dma1tma-3_2       -309.486504420106 
1dma1tma-4_8       -309.493540041623 
1dma1tma-4_6       -309.498037018432 
1dma1tma-4_1       -309.521722851123 
1dma1tma-1_4       -309.479355124746 
1dma1tma-1_3       -309.49142110999  
1dma1tma-2_11      -309.485979208278 
1dma1tma-5_7       -309.494151666234 
1dma1tma-4_11      -309.493091637904 
1dma1tma-5_9       -309.49089829017  
1dma1tma-2_3       -309.494630665824 
1dma1tma-2_4       -309.481390027756 
1dma1tma-1_2       -309.488220822478 
1dma1tma-2_10      -309.462444294145 
1dma1tma-1_5       -309.494027679005 
1dma1tma-4_7       -309.497484066368 
1dma1tma-3_3       -309.490746615035 
1dma1tma-4_9       -309.489428929568 
1dma1tma-3_4       -309.488947839021 
1dma-10            -135.104343014021 
1dma-5             -135.097143118912 
1dma-2             -135.107353196143 
1dma-11            -135.101044606926 
1dma-3             -135.10637180015  
1dma-4             -135.092899491485 
1dma-7             -135.105721718559 
1dma-9             -135.105506093526 
1dma-8             -135.108837393958 
1dma-1             -135.112745255968 
1dma-6             -135.103364800374 
1eda1tma-6_1       -364.879184160078 
1eda1tma-6_6       -364.845998654863 
1eda1tma-3_10      -364.854714985853 
1eda1tma-6_8       -364.849672496054 
1eda1tma-1_2       -364.835180372993 
1eda1tma-1_5       -364.84828050932  
1eda1tma-4_9       -364.825310201901 
1eda1tma-8_7       -364.84407727317  
1eda1tma-3_3       -364.848335748986 
1eda1tma-7_11      -364.855061236559 
